Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.119969,0.199070557951927,-3.02211128655472E-06,0,0,0,0,0,38
0,1,0.239938,0.197615966200829,-2.97499991575023E-06,0,0,0,0,0,38
0,2,0.359907,0.196452274918556,-3.06568267660623E-06,0,0,0,0,0,38
0,3,0.479876,0.194900691509247,-2.82876362689422E-06,0,0,0,0,0,38
0,4,0.599845,0.193989142775536,-3.01355271403736E-06,0,0,0,0,0,38
0,5,0.719814,0.192592725157738,-2.92640993393434E-06,0,0,0,0,0,38
0,6,0.839783,0.191642388701439,-2.93905350190471E-06,0,0,0,0,0,38
0,7,0.959752,0.190459311008453,-2.93119501293404E-06,0,0,0,0,0,38
0,8,1.079721,0.189256832003593,-2.96360121865291E-06,0,0,0,0,0,38
0,9,1.19969,0.188093155622482,-3.14730118589068E-06,0,0,0,0,0,38
0,10,1.319659,0.186813101172447,-3.13633040605055E-06,0,0,0,0,0,38
0,11,1.439628,0.185571834445,-3.14099884235475E-06,0,0,0,0,0,38
0,12,1.559597,0.184699073433876,-3.21868810715387E-06,0,0,0,0,0,38
0,13,1.679566,0.183186292648315,-3.31785167873022E-06,0,0,0,0,0,38
0,14,1.799535,0.181983813643456,-3.40433302881138E-06,0,0,0,0,0,38
0,15,1.919504,0.181169241666794,-3.51610128745961E-06,0,0,0,0,0,38
0,16,2.039473,0.179753422737122,-3.30520833813353E-06,0,0,0,0,0,38
0,17,2.159442,0.178395792841911,-3.37177129949851E-06,0,0,0,0,0,38
0,18,2.279411,0.177193328738213,-3.30540274262603E-06,0,0,0,0,0,38
0,19,2.39938,0.175796911120415,-3.41771556122694E-06,0,0,0,0,0,38
0,20,2.519349,0.17476898431778,-3.54547296410601E-06,0,0,0,0,0,38
0,21,2.639318,0.173508331179619,-3.57406679540873E-06,0,0,0,0,0,38
0,22,2.759287,0.172538593411446,-3.58285865331709E-06,0,0,0,0,0,38
0,23,2.879256,0.171588256955147,-3.70112388736743E-06,0,0,0,0,0,38
0,24,2.999225,0.170172438025475,-3.68879159395874E-06,0,0,0,0,0,38
0,25,3.119194,0.169125124812126,-3.7926236018393E-06,0,0,0,0,0,38
0,26,3.239163,0.167825669050217,-3.75352601622581E-06,0,0,0,0,0,38
0,27,3.359132,0.16658441722393,-3.88840271625668E-06,0,0,0,0,0,38
0,28,3.479101,0.165440127253532,-4.0884028749133E-06,0,0,0,0,0,38
0,29,3.59907,0.164198860526085,-3.9024466786941E-06,0,0,0,0,0,38
0,30,3.719039,0.162996396422386,-3.9756232581567E-06,0,0,0,0,0,38
0,31,3.839008,0.161541789770126,-3.9559772631037E-06,0,0,0,0,0,38
0,32,3.958977,0.160649627447128,-4.05903119826689E-06,0,0,0,0,0,38
0,33,4.078946,0.15944716334343,-4.15764998251689E-06,0,0,0,0,0,38
0,34,4.198915,0.158128321170807,-4.19402431361959E-06,0,0,0,0,0,38
0,35,4.318884,0.157236158847809,-4.24619338446064E-06,0,0,0,0,0,38
0,36,4.438853,0.155800953507423,-4.36356367572444E-06,0,0,0,0,0,38
0,37,4.558822,0.15483121573925,-4.37383414464421E-06,0,0,0,0,0,38
0,38,4.678791,0.15331843495369,-4.39561972598312E-06,0,0,0,0,0,38
0,39,4.79876,0.152174144983292,-4.50540392193943E-06,0,0,0,0,0,38
0,40,4.918729,0.150932878255844,-4.55057033832418E-06,0,0,0,0,0,38
0,41,5.038698,0.149691611528397,-4.76185232400894E-06,0,0,0,0,0,38
0,42,5.158667,0.148411571979523,-4.70707664135261E-06,0,0,0,0,0,38
0,43,5.278636,0.147286668419838,-4.79114623885835E-06,0,0,0,0,0,38
0,44,5.398605,0.146006613969803,-4.712095233117E-06,0,0,0,0,0,38
0,45,5.518574,0.144881725311279,-4.87618808620027E-06,0,0,0,0,0,38
0,46,5.638543,0.143679261207581,-4.91147284265026E-06,0,0,0,0,0,38
0,47,5.758512,0.142767697572708,-4.93983316118829E-06,0,0,0,0,0,38
0,48,5.878481,0.141448855400085,-5.00235046274611E-06,0,0,0,0,0,38
0,49,5.99845,0.140207603573799,-5.13788836542517E-06,0,0,0,0,0,38
0,50,6.118419,0.139160290360451,-5.15628926223144E-06,0,0,0,0,0,38
0,51,6.238388,0.137783259153366,-5.09836308992817E-06,0,0,0,0,0,38
0,52,6.358357,0.13669715821743,-5.32084914084408E-06,0,0,0,0,0,38
0,53,6.478326,0.135261952877045,-5.40892551725847E-06,0,0,0,0,0,38
0,54,6.598295,0.133865535259247,-5.51015091332374E-06,0,0,0,0,0,38
0,55,6.718264,0.133012160658836,-5.43425130672404E-06,0,0,0,0,0,38
0,56,6.838233,0.131596341729164,-5.67350434721448E-06,0,0,0,0,0,38
0,57,6.958202,0.130607217550278,-5.48859861737583E-06,0,0,0,0,0,38
0,58,7.078171,0.129327163100243,-5.68027371627977E-06,0,0,0,0,0,38
0,59,7.19814,0.128085896372795,-5.62962168260128E-06,0,0,0,0,0,38
0,60,7.318109,0.127077370882034,-5.80013374928967E-06,0,0,0,0,0,38
0,61,7.438078,0.125874906778336,-5.81966287427349E-06,0,0,0,0,0,38
0,62,7.558047,0.124614246189594,-5.96811651121243E-06,0,0,0,0,0,38
0,63,7.678016,0.123043276369572,-6.07432184551726E-06,0,0,0,0,0,38
0,64,7.797985,0.121802017092705,-6.02308637098758E-06,0,0,0,0,0,38
0,65,7.917954,0.120715908706188,-6.15123281022534E-06,0,0,0,0,0,38
0,66,8.037923,0.119629807770252,-6.20842047283077E-06,0,0,0,0,0,38
0,67,8.157892,0.11856310069561,-6.54174073133618E-06,0,0,0,0,0,38
0,68,8.277861,0.1172054708004,-6.35489004707779E-06,0,0,0,0,0,38
0,69,8.39783,0.116099968552589,-6.39846120975562E-06,0,0,0,0,0,38
0,70,8.517799,0.114781126379967,-6.45934460408171E-06,0,0,0,0,0,38
0,71,8.637768,0.1135398671031,-6.56551083011436E-06,0,0,0,0,0,38
0,72,8.757737,0.112550735473633,-6.58515682516736E-06,0,0,0,0,0,38
0,73,8.877706,0.111348263919353,-6.72789155942155E-06,0,0,0,0,0,38
0,74,8.997675,0.110087603330612,-6.77457501296885E-06,0,0,0,0,0,38
0,75,9.117644,0.108923926949501,-6.8708600338141E-06,0,0,0,0,0,38
0,76,9.237613,0.107702054083347,-6.91108562023146E-06,0,0,0,0,0,38
0,77,9.357582,0.106344424188137,-7.02370971339406E-06,0,0,0,0,0,38
0,78,9.477551,0.105122558772564,-7.12353494236595E-06,0,0,0,0,0,38
0,79,9.59752,0.104191616177559,-7.13699546395219E-06,0,0,0,0,0,38
0,80,9.717489,0.102911561727524,-7.37340860723634E-06,0,0,0,0,0,38
0,81,9.837458,0.101980619132519,-7.26156258679111E-06,0,0,0,0,0,38
0,82,9.957427,0.100564800202847,-7.36029824111029E-06,0,0,0,0,0,38
0,83,10.077396,0.0989938303828239,-7.57449788579834E-06,0,0,0,0,0,38
0,84,10.197365,0.0981598570942879,-7.69081816542894E-06,0,0,0,0,0,38
0,85,10.317334,0.096705250442028,-7.81491871748585E-06,0,0,0,0,0,38
0,86,10.437303,0.0957355201244354,-7.67163874115795E-06,0,0,0,0,0,38
0,87,10.557272,0.0947657823562622,-7.78025605541188E-06,0,0,0,0,0,38
0,88,10.677241,0.09334996342659,-7.91629918239778E-06,0,0,0,0,0,38
0,89,10.79721,0.0920893102884293,-7.95279083831701E-06,0,0,0,0,0,38
0,90,10.917179,0.0908674448728561,-7.96909080236219E-06,0,0,0,0,0,38
0,91,11.037148,0.089645579457283,-8.11602785688592E-06,0,0,0,0,0,38
0,92,11.157117,0.0883849188685417,-8.16570627648616E-06,0,0,0,0,0,38
0,93,11.277086,0.0873182117938995,-8.48420495458413E-06,0,0,0,0,0,38
0,94,11.397055,0.0864454507827759,-8.43234738567844E-06,0,0,0,0,0,38
0,95,11.517024,0.0849714502692223,-8.54248173709493E-06,0,0,0,0,0,38
