Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.750029265880585,-0.000734525732696056,0,0,0,0,0,3
0,1,2,-0.750029265880585,-0.000830027216579765,0,0,0,0,0,3
0,2,3,-0.749815881252289,-0.000920685648452491,0,0,0,0,0,3
0,3,4,-0.749854683876038,-0.000994352158159018,0,0,0,0,0,3
0,4,5,-0.749815881252289,-0.00105328683275729,0,0,0,0,0,3
0,5,6,-0.749641358852386,-0.0011015705531463,0,0,0,0,0,3
0,6,7,-0.750029265880585,-0.00113915663678199,0,0,0,0,0,3
0,7,8,-0.750281393527985,-0.00117500755004585,0,0,0,0,0,3
0,8,9,-0.749874114990234,-0.00120045256335288,0,0,0,0,0,3
0,9,10,-0.749757707118988,-0.00122371141333133,0,0,0,0,0,3
0,10,11,-0.749757707118988,-0.00124417711049318,0,0,0,0,0,3
0,11,12,-0.749777138233185,-0.00125887780450284,0,0,0,0,0,3
0,12,13,-0.749874114990234,-0.00127550784964114,0,0,0,0,0,3
0,13,14,-0.750029265880585,-0.00128624064382166,0,0,0,0,0,3
0,14,15,-0.749757707118988,-0.00129887170623988,0,0,0,0,0,3
0,15,16,-0.749971091747284,-0.00130946049466729,0,0,0,0,0,3
0,16,17,-0.749951660633087,-0.00131932192016393,0,0,0,0,0,3
0,17,18,-0.750068008899689,-0.00132602837402374,0,0,0,0,0,3
0,18,19,-0.749815881252289,-0.00133358687162399,0,0,0,0,0,3
0,19,20,-0.749912858009338,-0.00134039053227752,0,0,0,0,0,3
0,20,21,-0.749893486499786,-0.00134681304916739,0,0,0,0,0,3
0,21,22,-0.750068008899689,-0.0013497150503099,0,0,0,0,0,3
0,22,23,-0.750087440013886,-0.00135570974089205,0,0,0,0,0,3
0,23,24,-0.749796509742737,-0.00135860778391361,0,0,0,0,0,3
0,24,25,-0.750068008899689,-0.00136482808738947,0,0,0,0,0,3
0,25,26,-0.749951660633087,-0.00136542716063559,0,0,0,0,0,3
0,26,27,-0.749796509742737,-0.00136900600045919,0,0,0,0,0,3
0,27,28,-0.750029265880585,-0.00137308670673519,0,0,0,0,0,3
0,28,29,-0.750009834766388,-0.00137649837415665,0,0,0,0,0,3
0,29,30,-0.749971091747284,-0.00138003833126277,0,0,0,0,0,3
0,30,31,-0.750106811523438,-0.0013836482539773,0,0,0,0,0,3
0,31,32,-0.749951660633087,-0.00138698983937502,0,0,0,0,0,3
0,32,33,-0.749796509742737,-0.00138843699824065,0,0,0,0,0,3
0,33,34,-0.750029265880585,-0.00138970511034131,0,0,0,0,0,3
0,34,35,-0.749680161476135,-0.00139110558666289,0,0,0,0,0,3
0,35,36,-0.750029265880585,-0.00139336963184178,0,0,0,0,0,3
0,36,37,-0.749912858009338,-0.00139294948894531,0,0,0,0,0,3
0,37,38,-0.749815881252289,-0.00139515905175358,0,0,0,0,0,3
0,38,39,-0.749680161476135,-0.00139623275026679,0,0,0,0,0,3
0,39,40,-0.749932289123535,-0.00139382085762918,0,0,0,0,0,3
0,40,41,-0.750029265880585,-0.00139498012140393,0,0,0,0,0,3
0,41,42,-0.749932289123535,-0.00139338907320052,0,0,0,0,0,3
0,42,43,-0.749951660633087,-0.00139450945425779,0,0,0,0,0,3
0,43,44,-0.749699532985687,-0.0013936769682914,0,0,0,0,0,3
0,44,45,-0.750029265880585,-0.00139413599390537,0,0,0,0,0,3
0,45,46,-0.749990463256836,-0.00139510852750391,0,0,0,0,0,3
0,46,47,-0.750145614147186,-0.00139491003938019,0,0,0,0,0,3
0,47,48,-0.750184416770935,-0.00139562587719411,0,0,0,0,0,3
0,48,49,-0.749583184719086,-0.00139514345210046,0,0,0,0,0,3
0,49,50,-0.750164985656738,-0.00139297277200967,0,0,0,0,0,3
0,50,51,-0.749951660633087,-0.00139389862306416,0,0,0,0,0,3
0,51,52,-0.749912858009338,-0.00139436940662563,0,0,0,0,0,3
0,52,53,-0.749835312366486,-0.00139321014285088,0,0,0,0,0,3
0,53,54,-0.749621987342834,-0.00138969346880913,0,0,0,0,0,3
0,54,55,-0.749835312366486,-0.00138906331267208,0,0,0,0,0,3
0,55,56,-0.749815881252289,-0.0013892266433686,0,0,0,0,0,3
0,56,57,-0.749932289123535,-0.00139739585574716,0,0,0,0,0,3
0,57,58,-0.749815881252289,-0.00139490619767457,0,0,0,0,0,3
0,58,59,-0.749699532985687,-0.0013936108443886,0,0,0,0,0,3
0,59,60,-0.749718904495239,-0.00139260326977819,0,0,0,0,0,3
0,60,61,-0.750397741794586,-0.00139425264205784,0,0,0,0,0,3
0,61,62,-0.749874114990234,-0.0013935836032033,0,0,0,0,0,3
0,62,63,-0.750029265880585,-0.00139237369876355,0,0,0,0,0,3
0,63,64,-0.750029265880585,-0.00139420595951378,0,0,0,0,0,3
0,64,65,-0.749854683876038,-0.00139342411421239,0,0,0,0,0,3
0,65,66,-0.749932289123535,-0.00139352516271174,0,0,0,0,0,3
0,66,67,-0.749854683876038,-0.00139346299692988,0,0,0,0,0,3
0,67,68,-0.749718904495239,-0.00139243993908167,0,0,0,0,0,3
0,68,69,-0.750242590904236,-0.00139312457758933,0,0,0,0,0,3
0,69,70,-0.749777138233185,-0.00139235041569918,0,0,0,0,0,3
