Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.750126242637634,-0.000826677889563143,0,0,0,0,0,3
0,1,2,-0.750087440013886,-0.000883192988112569,0,0,0,0,0,3
0,2,3,-0.750009834766388,-0.000931418384425342,0,0,0,0,0,3
0,3,4,-0.750358939170837,-0.000970610941294581,0,0,0,0,0,3
0,4,5,-0.749912858009338,-0.00100389448925853,0,0,0,0,0,3
0,5,6,-0.750029265880585,-0.00103145185858011,0,0,0,0,0,3
0,6,7,-0.749796509742737,-0.0010535242035985,0,0,0,0,0,3
0,7,8,-0.749777138233185,-0.00107211095746607,0,0,0,0,0,3
0,8,9,-0.750048637390137,-0.00108949188143015,0,0,0,0,0,3
0,9,10,-0.750029265880585,-0.00110276485793293,0,0,0,0,0,3
0,10,11,-0.749951660633087,-0.00111465295776725,0,0,0,0,0,3
0,11,12,-0.749815881252289,-0.00112217245623469,0,0,0,0,0,3
0,12,13,-0.749951660633087,-0.00113101070746779,0,0,0,0,0,3
0,13,14,-0.749757707118988,-0.00113851472269744,0,0,0,0,0,3
0,14,15,-0.749874114990234,-0.00114481663331389,0,0,0,0,0,3
0,15,16,-0.750029265880585,-0.00115030165761709,0,0,0,0,0,3
0,16,17,-0.749835312366486,-0.00115387281402946,0,0,0,0,0,3
0,17,18,-0.749835312366486,-0.00115940452087671,0,0,0,0,0,3
0,18,19,-0.749777138233185,-0.0011620030272752,0,0,0,0,0,3
0,19,20,-0.750087440013886,-0.00116478442214429,0,0,0,0,0,3
0,20,21,-0.749835312366486,-0.00116756581701338,0,0,0,0,0,3
0,21,22,-0.750068008899689,-0.0011703628115356,0,0,0,0,0,3
0,22,23,-0.749990463256836,-0.00117106304969639,0,0,0,0,0,3
0,23,24,-0.749680161476135,-0.00117226119618863,0,0,0,0,0,3
0,24,25,-0.749718904495239,-0.00117304699961096,0,0,0,0,0,3
0,25,26,-0.749932289123535,-0.00117463804781437,0,0,0,0,0,3
0,26,27,-0.749796509742737,-0.00117591011803597,0,0,0,0,0,3
0,27,28,-0.749912858009338,-0.00117517879698426,0,0,0,0,0,3
0,28,29,-0.749757707118988,-0.00117624457925558,0,0,0,0,0,3
0,29,30,-0.749971091747284,-0.00117550941649824,0,0,0,0,0,3
0,30,31,-0.749854683876038,-0.00117833365220577,0,0,0,0,0,3
0,31,32,-0.749641358852386,-0.00117675424553454,0,0,0,0,0,3
0,32,33,-0.749874114990234,-0.00117560662329197,0,0,0,0,0,3
0,33,34,-0.750048637390137,-0.00117563002277166,0,0,0,0,0,3
0,34,35,-0.750261962413788,-0.00117507763206959,0,0,0,0,0,3
0,35,36,-0.750029265880585,-0.00117705762386322,0,0,0,0,0,3
0,36,37,-0.749796509742737,-0.00117379776202142,0,0,0,0,0,3
0,37,38,-0.750068008899689,-0.00117494142614305,0,0,0,0,0,3
0,38,39,-0.749932289123535,-0.00117256853263825,0,0,0,0,0,3
0,39,40,-0.749602556228638,-0.00117084523662925,0,0,0,0,0,3
0,40,41,-0.749815881252289,-0.00117168936412781,0,0,0,0,0,3
0,41,42,-0.750087440013886,-0.00117168540600687,0,0,0,0,0,3
0,42,43,-0.749641358852386,-0.00116880680434406,0,0,0,0,0,3
0,43,44,-0.750087440013886,-0.00116972869727761,0,0,0,0,0,3
0,44,45,-0.749990463256836,-0.00116844894364476,0,0,0,0,0,3
0,45,46,-0.749699532985687,-0.00116688117850572,0,0,0,0,0,3
0,46,47,-0.749912858009338,-0.00116647663526237,0,0,0,0,0,3
0,47,48,-0.749718904495239,-0.00116571027319878,0,0,0,0,0,3
0,48,49,-0.749854683876038,-0.00116413866635412,0,0,0,0,0,3
0,49,50,-0.750126242637634,-0.0011644926853478,0,0,0,0,0,3
0,50,51,-0.749621987342834,-0.00116196414455771,0,0,0,0,0,3
0,51,52,-0.749951660633087,-0.00116129114758223,0,0,0,0,0,3
0,52,53,-0.750145614147186,-0.00115906214341521,0,0,0,0,0,3
0,53,54,-0.750029265880585,-0.00115852535236627,0,0,0,0,0,3
0,54,55,-0.750009834766388,-0.00115720659960061,0,0,0,0,0,3
0,55,56,-0.749835312366486,-0.00115519925020635,0,0,0,0,0,3
0,56,57,-0.749951660633087,-0.00115363160148263,0,0,0,0,0,3
0,57,58,-0.749874114990234,-0.00115365884266794,0,0,0,0,0,3
0,58,59,-0.749777138233185,-0.00114983099047095,0,0,0,0,0,3
0,59,60,-0.749971091747284,-0.0011501032859087,0,0,0,0,0,3
0,60,61,-0.749912858009338,-0.00114890513941646,0,0,0,0,0,3
0,61,62,-0.749777138233185,-0.00114679674152285,0,0,0,0,0,3
0,62,63,-0.749680161476135,-0.00115396617911756,0,0,0,0,0,3
0,63,64,-0.749951660633087,-0.00115100969560444,0,0,0,0,0,3
0,64,65,-0.749932289123535,-0.00115021609235555,0,0,0,0,0,3
0,65,66,-0.749738335609436,-0.00114892073906958,0,0,0,0,0,3
0,66,67,-0.749932289123535,-0.00114876893348992,0,0,0,0,0,3
0,67,68,-0.749893486499786,-0.00114787032362074,0,0,0,0,0,3
0,68,69,-0.749893486499786,-0.00114642712287605,0,0,0,0,0,3
0,69,70,-0.749912858009338,-0.00114634935744107,0,0,0,0,0,3
0,70,71,-0.749757707118988,-0.00114932132419199,0,0,0,0,0,3
0,71,72,-0.749912858009338,-0.00114809989463538,0,0,0,0,0,3
0,72,73,-0.749990463256836,-0.0011481816181913,0,0,0,0,0,3
0,73,74,-0.749912858009338,-0.00115002552047372,0,0,0,0,0,3
0,74,75,-0.749815881252289,-0.00114841107279062,0,0,0,0,0,3
0,75,76,-0.749815881252289,-0.00114626763388515,0,0,0,0,0,3
0,76,77,-0.749971091747284,-0.00114782364107668,0,0,0,0,0,3
0,77,78,-0.750106811523438,-0.00114708067849278,0,0,0,0,0,3
0,78,79,-0.749680161476135,-0.00114625599235296,0,0,0,0,0,3
0,79,80,-0.749738335609436,-0.00114510837011039,0,0,0,0,0,3
0,80,81,-0.750145614147186,-0.00114464934449643,0,0,0,0,0,3
0,81,82,-0.750009834766388,-0.00114220252726227,0,0,0,0,0,3
0,82,83,-0.749932289123535,-0.00114164233673364,0,0,0,0,0,3
0,83,84,-0.750009834766388,-0.00114093825686723,0,0,0,0,0,3
0,84,85,-0.749815881252289,-0.00114002404734492,0,0,0,0,0,3
0,85,86,-0.750126242637634,-0.0011383630335331,0,0,0,0,0,3
0,86,87,-0.750009834766388,-0.00113613007124513,0,0,0,0,0,3
0,87,88,-0.749757707118988,-0.00114024966023862,0,0,0,0,0,3
0,88,89,-0.750242590904236,-0.00113944057375193,0,0,0,0,0,3
0,89,90,-0.749912858009338,-0.00113840191625059,0,0,0,0,0,3
0,90,91,-0.749874114990234,-0.00113787676673383,0,0,0,0,0,3
0,91,92,-0.749777138233185,-0.00113565556239337,0,0,0,0,0,3
0,92,93,-0.749893486499786,-0.00113444961607456,0,0,0,0,0,3
0,93,94,-0.749835312366486,-0.00113397114910185,0,0,0,0,0,3
0,94,95,-0.750358939170837,-0.00113483075983822,0,0,0,0,0,3
0,95,96,-0.750281393527985,-0.00113118579611182,0,0,0,0,0,3
0,96,97,-0.749932289123535,-0.00112981651909649,0,0,0,0,0,3
0,97,98,-0.750145614147186,-0.00113079673610628,0,0,0,0,0,3
0,98,99,-0.749583184719086,-0.00112756027374417,0,0,0,0,0,3
0,99,100,-0.749854683876038,-0.00112813990563154,0,0,0,0,0,3
