Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,1,0.066266,0.653488755226135,2.85814150124963E-09,0,0,0,0,0,38
0,2,0.099399,0.651743233203888,-4.26796624708459E-08,0,0,0,0,0,38
0,3,0.132532,0.650211036205292,-1.10624585047958E-08,0,0,0,0,0,38
0,4,0.165665,0.648678839206696,-6.53512444159787E-08,0,0,0,0,0,38
0,5,0.198798,0.646894574165344,-6.68032527073592E-08,0,0,0,0,0,38
0,6,0.231931,0.645187795162201,-2.56331542658472E-08,0,0,0,0,0,38
0,7,0.265064,0.643597424030304,-2.33208403699336E-08,0,0,0,0,0,38
0,8,0.298197,0.641793727874756,-3.68521604343641E-08,0,0,0,0,0,38
0,9,0.33133,0.64051365852356,1.11925952950287E-08,0,0,0,0,0,38
0,10,0.364463,0.638865113258362,-5.49224701273943E-08,0,0,0,0,0,38
0,11,0.397596,0.637274742126465,-4.04023836608758E-08,0,0,0,0,0,38
0,12,0.430729,0.635509848594666,-1.72169531964528E-08,0,0,0,0,0,38
0,13,0.463862,0.633725523948669,-5.64250868251293E-08,0,0,0,0,0,38
0,14,0.496995,0.631999433040619,-7.62938654474965E-08,0,0,0,0,0,38
0,15,0.530128,0.630486607551575,-2.44536408899876E-08,0,0,0,0,0,38
0,16,0.563261,0.628993213176727,-7.75161979049699E-08,0,0,0,0,0,38
0,17,0.596394,0.626956760883331,-1.6874388109045E-08,0,0,0,0,0,38
0,18,0.629527,0.625385820865631,-4.77402828380491E-08,0,0,0,0,0,38
0,19,0.66266,0.623601496219635,-8.37680076415381E-08,0,0,0,0,0,38
0,20,0.695793,0.622146904468536,-5.93913895841069E-08,0,0,0,0,0,38
0,21,0.728926,0.62061470746994,-5.39064544113899E-08,0,0,0,0,0,38
0,22,0.762059,0.619004964828491,-4.25044852647716E-08,0,0,0,0,0,38
0,23,0.795192,0.617104291915894,-7.34209848474165E-08,0,0,0,0,0,38
0,24,0.828325,0.615513920783997,-2.08138857260565E-08,0,0,0,0,0,38
0,25,0.861458,0.61407870054245,-7.46822479413822E-08,0,0,0,0,0,38
0,26,0.894591,0.612139225006104,-4.9998096329773E-08,0,0,0,0,0,38
0,27,0.927724,0.610296726226807,-2.99502538325669E-08,0,0,0,0,0,38
0,28,0.960857,0.609074831008911,-1.06058102744555E-07,0,0,0,0,0,38
0,29,0.99399,0.60719358921051,-2.19972928761081E-08,0,0,0,0,0,38
0,30,1.027123,0.605409264564514,-3.98807493695585E-08,0,0,0,0,0,38
0,31,1.060256,0.60379946231842,-6.5939055104991E-08,0,0,0,0,0,38
0,32,1.093389,0.602034568786621,-7.34095584320471E-09,0,0,0,0,0,38
0,33,1.126522,0.600676953792572,-3.02850331479476E-08,0,0,0,0,0,38
0,34,1.159655,0.598912000656128,-9.16314348842207E-08,0,0,0,0,0,38
0,35,1.192788,0.597147107124329,-7.85555727134124E-08,0,0,0,0,0,38
0,36,1.225921,0.595770061016083,-5.03873778257002E-08,0,0,0,0,0,38
0,37,1.259054,0.594063341617584,-5.38480620093651E-08,0,0,0,0,0,38
0,38,1.292187,0.592279016971588,2.26802043812313E-08,0,0,0,0,0,38
0,39,1.32532,0.59088259935379,-5.98001292928529E-08,0,0,0,0,0,38
