Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.749505579471588,-0.000961375888437033,0,0,0,0,0,3
0,1,2,-0.749563753604889,-0.000949526729527861,0,0,0,0,0,3
0,2,3,-0.749583184719086,-0.000938564422540367,0,0,0,0,0,3
0,3,4,-0.749292254447937,-0.000920533901080489,0,0,0,0,0,3
0,4,5,-0.749098300933838,-0.000904331740457565,0,0,0,0,0,3
0,5,6,-0.752026915550232,-0.000964985869359225,0,0,0,0,0,3
0,6,7,-0.750591695308685,-0.00092131580458954,0,0,0,0,0,3
0,7,8,-0.748594045639038,-0.000852150144055486,0,0,0,0,0,3
0,8,9,-0.750611066818237,-0.000902919622603804,0,0,0,0,0,3
0,9,10,-0.750223219394684,-0.000874560908414423,0,0,0,0,0,3
0,10,11,-0.752725124359131,-0.000931126589421183,0,0,0,0,0,3
0,11,12,-0.751289904117584,-0.000870169023983181,0,0,0,0,0,3
0,12,13,-0.74896252155304,-0.000796767009887844,0,0,0,0,0,3
0,13,14,-0.747469127178192,-0.000768560043070465,0,0,0,0,0,3
0,14,15,-0.751522660255432,-0.000842673878651112,0,0,0,0,0,3
