Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.12,-0.493650496006012,-0.00037821356090717,0,0,0,0,0,33
0,1,0.24,-0.492680758237839,-0.000328579975757748,0,0,0,0,0,33
0,2,0.36,-0.489965498447418,-0.000290340482024476,0,0,0,0,0,33
0,3,0.48,-0.496249377727509,-0.000332240539137274,0,0,0,0,0,33
0,4,0.6,-0.491652846336365,-0.000292958487989381,0,0,0,0,0,33
0,5,0.72,-0.493243217468262,-0.00030468319891952,0,0,0,0,0,33
0,6,0.84,-0.481140911579132,-0.000203813353436999,0,0,0,0,0,33
0,7,0.96,-0.491342514753342,-0.000290270458208397,0,0,0,0,0,33
0,8,1.08,-0.495260268449783,-0.000324849388562143,0,0,0,0,0,33
0,9,1.2,-0.487870872020721,-0.000266607064986601,0,0,0,0,0,33
0,10,1.32,-0.479608714580536,-0.000201996677787974,0,0,0,0,0,33
0,11,1.44,-0.486862361431122,-0.000263526133494452,0,0,0,0,0,33
0,12,1.56,-0.487560570240021,-0.000272570556262508,0,0,0,0,0,33
0,13,1.68,-0.487638145685196,-0.000277697690762579,0,0,0,0,0,33
0,14,1.8,-0.488142400979996,-0.000284590933006257,0,0,0,0,0,33
0,15,1.92,-0.482265800237656,-0.000241138695855625,0,0,0,0,0,33
0,16,2.04,-0.4848453104496,-0.000267894676653668,0,0,0,0,0,33
0,17,2.16,-0.478406250476837,-0.000221054200665094,0,0,0,0,0,33
0,18,2.28,-0.47732013463974,-0.000214744490222074,0,0,0,0,0,33
0,19,2.4,-0.479182034730911,-0.000236774023505859,0,0,0,0,0,33
0,20,2.52,-0.473867893218994,-0.000197293571545742,0,0,0,0,0,33
0,21,2.64,-0.476466774940491,-0.000223672221181914,0,0,0,0,0,33
0,22,2.76,-0.471967220306396,-0.000195500251720659,0,0,0,0,0,33
0,23,2.88,-0.469814389944077,-0.000181550407432951,0,0,0,0,0,33
0,24,3,-0.471889615058899,-0.000206847616937011,0,0,0,0,0,33
0,25,3.12,-0.47078412771225,-0.000204875352210365,0,0,0,0,0,33
0,26,3.24,-0.46190133690834,-0.000139358569867909,0,0,0,0,0,33
0,27,3.36,-0.468262821435928,-0.000195644184714183,0,0,0,0,0,33
0,28,3.48,-0.464829951524735,-0.000175917564774863,0,0,0,0,0,33
0,29,3.6,-0.470105320215225,-0.000226574222324416,0,0,0,0,0,33
0,30,3.72,-0.461067378520966,-0.000159190210979432,0,0,0,0,0,33
0,31,3.84,-0.451583355665207,-8.83128959685564E-05,0,0,0,0,0,33
0,32,3.96,-0.455307155847549,-0.000127458799397573,0,0,0,0,0,33
0,33,4.08,-0.456606596708298,-0.000144100573379546,0,0,0,0,0,33
0,34,4.2,-0.45817756652832,-0.000165780016686767,0,0,0,0,0,33
0,35,4.32,-0.459515810012817,-0.000181997762410901,0,0,0,0,0,33
0,36,4.44,-0.459961891174316,-0.000192808307474479,0,0,0,0,0,33
0,37,4.56,-0.45811939239502,-0.000184129530680366,0,0,0,0,0,33
0,38,4.68,-0.452979773283005,-0.000150402513099834,0,0,0,0,0,33
0,39,4.8,-0.443127274513245,-7.90933991083875E-05,0,0,0,0,0,33
0,40,4.92,-0.453154325485229,-0.000167032616445795,0,0,0,0,0,33
0,41,5.04,-0.448557794094086,-0.000138992894790135,0,0,0,0,0,33
0,42,5.16,-0.445144325494766,-0.000117469069664367,0,0,0,0,0,33
0,43,5.28,-0.452766448259354,-0.000190684324479662,0,0,0,0,0,33
0,44,5.4,-0.44345697760582,-0.000120324388262816,0,0,0,0,0,33
0,45,5.52,-0.439461678266525,-9.47237567743286E-05,0,0,0,0,0,33
0,46,5.64,-0.444969773292542,-0.000151596774230711,0,0,0,0,0,33
0,47,5.76,-0.44345697760582,-0.00014660190208815,0,0,0,0,0,33
0,48,5.88,-0.445997685194016,-0.000175726949237287,0,0,0,0,0,33
0,49,6,-0.439034968614578,-0.00012861804862041,0,0,0,0,0,33
0,50,6.12,-0.444678843021393,-0.000178683418198489,0,0,0,0,0,33
0,51,6.24,-0.43789067864418,-0.000134122514282353,0,0,0,0,0,33
0,52,6.36,-0.435466349124908,-0.000122479497804306,0,0,0,0,0,33
0,53,6.48,-0.42879456281662,-7.77007517172024E-05,0,0,0,0,0,33
0,54,6.6,-0.429240643978119,-9.01178937056102E-05,0,0,0,0,0,33
0,55,6.72,-0.429706126451492,-0.000100862307590432,0,0,0,0,0,33
0,56,6.84,-0.427301168441772,-8.87719288584776E-05,0,0,0,0,0,33
0,57,6.96,-0.429706126451492,-0.000117644121928606,0,0,0,0,0,33
0,58,7.08,-0.43441903591156,-0.000163624907145277,0,0,0,0,0,33
0,59,7.2,-0.425555646419525,-0.000102854028227739,0,0,0,0,0,33
0,60,7.32,-0.424547135829926,-0.000102982397947926,0,0,0,0,0,33
0,61,7.44,-0.429783701896667,-0.000150017396663316,0,0,0,0,0,33
0,62,7.56,-0.424741089344025,-0.000122300552902743,0,0,0,0,0,33
0,63,7.68,-0.418980836868286,-8.37887346278876E-05,0,0,0,0,0,33
0,64,7.8,-0.425245344638824,-0.000146633028634824,0,0,0,0,0,33
0,65,7.92,-0.412522405385971,-4.61716299469117E-05,0,0,0,0,0,33
0,66,8.04,-0.421502143144608,-0.000129707274027169,0,0,0,0,0,33
0,67,8.16,-0.413414567708969,-7.43980708648451E-05,0,0,0,0,0,33
0,68,8.28,-0.415819495916367,-0.000100294353615027,0,0,0,0,0,33
0,69,8.4,-0.420551806688309,-0.000146559104905464,0,0,0,0,0,33
0,70,8.52,-0.420299679040909,-0.000154156441567466,0,0,0,0,0,33
0,71,8.64,-0.40668460726738,-5.48620737390593E-05,0,0,0,0,0,33
0,72,8.76,-0.406122148036957,-5.67059723834973E-05,0,0,0,0,0,33
0,73,8.88,-0.407402187585831,-7.64442520448938E-05,0,0,0,0,0,33
0,74,9,-0.40197166800499,-4.28456078225281E-05,0,0,0,0,0,33
0,75,9.12,-0.409361064434052,-0.000108241794805508,0,0,0,0,0,33
0,76,9.24,-0.408003449440002,-0.000107296502392273,0,0,0,0,0,33
0,77,9.36,-0.401506215333939,-6.54430987196974E-05,0,0,0,0,0,33
0,78,9.48,-0.401137709617615,-7.03757250448689E-05,0,0,0,0,0,33
0,79,9.6,-0.399353384971619,-6.43733292235993E-05,0,0,0,0,0,33
0,80,9.72,-0.398732751607895,-6.96832867106423E-05,0,0,0,0,0,33
0,81,9.84,-0.39559081196785,-5.23140697623603E-05,0,0,0,0,0,33
0,82,9.96,-0.400691628456116,-0.000103884900454432,0,0,0,0,0,33
0,83,10.08,-0.393457412719727,-5.4473064665217E-05,0,0,0,0,0,33
0,84,10.2,-0.395144730806351,-7.59891117922962E-05,0,0,0,0,0,33
0,85,10.32,-0.390974879264832,-5.15204919793177E-05,0,0,0,0,0,33
0,86,10.44,-0.392371296882629,-7.17605944373645E-05,0,0,0,0,0,33
0,87,10.56,-0.399295210838318,-0.00013798926374875,0,0,0,0,0,33
0,88,10.68,-0.399217635393143,-0.000146068967296742,0,0,0,0,0,33
0,89,10.8,-0.391188204288483,-9.15844575501978E-05,0,0,0,0,0,33
0,90,10.92,-0.391576111316681,-0.000100842851679772,0,0,0,0,0,33
0,91,11.04,-0.386785626411438,-7.33749766368419E-05,0,0,0,0,0,33
0,92,11.16,-0.387929916381836,-8.88341673999093E-05,0,0,0,0,0,33
0,93,11.28,-0.380462944507599,-3.82086291210726E-05,0,0,0,0,0,33
0,94,11.4,-0.391789466142654,-0.000140980730066076,0,0,0,0,0,33
0,95,11.52,-0.377592533826828,-3.49642978108022E-05,0,0,0,0,0,33
0,96,11.64,-0.382945448160172,-8.84819310158491E-05,0,0,0,0,0,33
0,97,11.76,-0.381684809923172,-8.73022727319039E-05,0,0,0,0,0,33
0,98,11.88,-0.380715072154999,-8.68064744281583E-05,0,0,0,0,0,33
0,99,12,-0.379687160253525,-8.8610926468391E-05,0,0,0,0,0,33
0,100,12.12,-0.378019213676453,-8.51679360494018E-05,0,0,0,0,0,33
0,101,12.24,-0.37710765004158,-8.54177778819576E-05,0,0,0,0,0,33
0,102,12.36,-0.375827610492706,-8.50237847771496E-05,0,0,0,0,0,33
0,103,12.48,-0.374819070100784,-8.35391110740602E-05,0,0,0,0,0,33
0,104,12.6,-0.373810559511185,-8.67979251779616E-05,0,0,0,0,0,33
0,105,12.72,-0.371851682662964,-8.1927384599112E-05,0,0,0,0,0,33
0,106,12.84,-0.371444404125214,-8.61719672684558E-05,0,0,0,0,0,33
0,107,12.96,-0.37031951546669,-8.65737310959958E-05,0,0,0,0,0,33
0,108,13.08,-0.36857396364212,-8.1569523899816E-05,0,0,0,0,0,33
0,109,13.2,-0.36801153421402,-8.47001138026826E-05,0,0,0,0,0,33
0,110,13.32,-0.366246610879898,-7.97572938608937E-05,0,0,0,0,0,33
0,111,13.44,-0.364753216505051,-7.89393889135681E-05,0,0,0,0,0,33
0,112,13.56,-0.364132583141327,-8.1346879596822E-05,0,0,0,0,0,33
0,113,13.68,-0.362949520349503,-8.12376965768635E-05,0,0,0,0,0,33
0,114,13.8,-0.361553102731705,-7.86973178037442E-05,0,0,0,0,0,33
0,115,13.92,-0.360408812761307,-8.16258616396226E-05,0,0,0,0,0,33
0,116,14.04,-0.358954191207886,-7.80056871008128E-05,0,0,0,0,0,33
0,117,14.16,-0.357887476682663,-7.99010595073923E-05,0,0,0,0,0,33
0,118,14.28,-0.356355309486389,-7.41601470508613E-05,0,0,0,0,0,33
0,119,14.4,-0.355773478746414,-7.83223586040549E-05,0,0,0,0,0,33
0,120,14.52,-0.353872776031494,-7.56417139200494E-05,0,0,0,0,0,33
0,121,14.64,-0.353581875562668,-7.70533370086923E-05,0,0,0,0,0,33
0,122,14.76,-0.351933300495148,-7.64572905609384E-05,0,0,0,0,0,33
0,123,14.88,-0.350556284189224,-7.47662998037413E-05,0,0,0,0,0,33
0,124,15,-0.349489569664001,-7.71901104599237E-05,0,0,0,0,0,33
0,125,15.12,-0.348112553358078,-7.28689774405211E-05,0,0,0,0,0,33
0,126,15.24,-0.346987664699554,-7.23273333278485E-05,0,0,0,0,0,33
0,127,15.36,-0.345940351486206,-7.40723335184157E-05,0,0,0,0,0,33
0,128,15.48,-0.344524532556534,-7.23887278581969E-05,0,0,0,0,0,33
0,129,15.6,-0.34365177154541,-7.64841024647467E-05,0,0,0,0,0,33
0,130,15.72,-0.342332929372787,-7.30504325474612E-05,0,0,0,0,0,33
0,131,15.84,-0.341052889823914,-7.33589477022178E-05,0,0,0,0,0,33
0,132,15.96,-0.340354681015015,-7.38015151000582E-05,0,0,0,0,0,33
0,133,16.08,-0.33843457698822,-6.88820073264651E-05,0,0,0,0,0,33
0,134,16.2,-0.337464869022369,-7.2084876592271E-05,0,0,0,0,0,33
0,135,16.32,-0.335796922445297,-6.81868841638789E-05,0,0,0,0,0,33
0,136,16.44,-0.335447818040848,-7.22488475730643E-05,0,0,0,0,0,33
0,137,16.56,-0.333469539880753,-6.82828540448099E-05,0,0,0,0,0,33
0,138,16.68,-0.332965284585953,-7.00076561770402E-05,0,0,0,0,0,33
0,139,16.8,-0.331627041101456,-6.82607060298324E-05,0,0,0,0,0,33
0,140,16.92,-0.330463349819183,-7.12786204530858E-05,0,0,0,0,0,33
0,141,17.04,-0.32873722910881,-6.7815424699802E-05,0,0,0,0,0,33
0,142,17.16,-0.328659653663635,-7.10252788849175E-05,0,0,0,0,0,33
0,143,17.28,-0.326565027236938,-6.7809596657753E-05,0,0,0,0,0,33
0,144,17.4,-0.325440138578415,-6.74979746690951E-05,0,0,0,0,0,33
0,145,17.52,-0.324625551700592,-6.61240410408936E-05,0,0,0,0,0,33
0,146,17.64,-0.32311275601387,-6.69093133183196E-05,0,0,0,0,0,33
0,147,17.76,-0.322123646736145,-6.82381723891012E-05,0,0,0,0,0,33
0,148,17.88,-0.320572048425674,-6.48763889330439E-05,0,0,0,0,0,33
0,149,18,-0.319175630807877,-6.34383395663463E-05,0,0,0,0,0,33
0,150,18.12,-0.318516224622726,-6.72255919198506E-05,0,0,0,0,0,33
0,151,18.24,-0.316615521907806,-6.0977617977187E-05,0,0,0,0,0,33
0,152,18.36,-0.31582036614418,-6.42154554952867E-05,0,0,0,0,0,33
0,153,18.48,-0.314637273550034,-6.40052458038554E-05,0,0,0,0,0,33
0,154,18.6,-0.314074814319611,-6.92010144121014E-05,0,0,0,0,0,33
0,155,18.72,-0.312251716852188,-6.19190905126743E-05,0,0,0,0,0,33
0,156,18.84,-0.311320781707764,-6.53069073450752E-05,0,0,0,0,0,33
0,157,18.96,-0.309885561466217,-6.2611885368824E-05,0,0,0,0,0,33
0,158,19.08,-0.308624923229218,-6.3106905145105E-05,0,0,0,0,0,33
0,159,19.2,-0.307325452566147,-6.16898396401666E-05,0,0,0,0,0,33
0,160,19.32,-0.306064814329147,-6.0964794101892E-05,0,0,0,0,0,33
0,161,19.44,-0.30548295378685,-6.6264699853491E-05,0,0,0,0,0,33
0,162,19.56,-0.303446531295776,-5.93596705584787E-05,0,0,0,0,0,33
0,163,19.68,-0.302787095308304,-6.12682561040856E-05,0,0,0,0,0,33
0,164,19.8,-0.301119148731232,-5.83704095333815E-05,0,0,0,0,0,33
0,165,19.92,-0.300110638141632,-5.97967955400236E-05,0,0,0,0,0,33
0,166,20.04,-0.299218475818634,-6.11944342381321E-05,0,0,0,0,0,33
0,167,20.16,-0.297977209091187,-5.87131144129671E-05,0,0,0,0,0,33
0,168,20.28,-0.296580791473389,-6.13327574683353E-05,0,0,0,0,0,33
0,169,20.4,-0.295591652393341,-5.94299999647774E-05,0,0,0,0,0,33
0,170,20.52,-0.294524967670441,-5.93934746575542E-05,0,0,0,0,0,33
0,171,20.64,-0.292488515377045,-5.62286877539009E-05,0,0,0,0,0,33
0,172,20.76,-0.292042434215546,-5.94680786889512E-05,0,0,0,0,0,33
0,173,20.88,-0.290723592042923,-5.7116925745504E-05,0,0,0,0,0,33
0,174,21,-0.289792656898499,-5.9287398471497E-05,0,0,0,0,0,33
0,175,21.12,-0.288318634033203,-6.01014253334142E-05,0,0,0,0,0,33
0,176,21.24,-0.287135571241379,-5.71511191083118E-05,0,0,0,0,0,33
0,177,21.36,-0.285603374242783,-5.5656346376054E-05,0,0,0,0,0,33
0,178,21.48,-0.284769415855408,-5.84729859838262E-05,0,0,0,0,0,33
0,179,21.6,-0.283140242099762,-5.33483253093436E-05,0,0,0,0,0,33
0,180,21.72,-0.282539010047913,-5.88794173381757E-05,0,0,0,0,0,33
0,181,21.84,-0.280638337135315,-5.25273062521592E-05,0,0,0,0,0,33
0,182,21.96,-0.279978930950165,-5.87958784308285E-05,0,0,0,0,0,33
0,183,22.08,-0.278815239667892,-5.64528854738455E-05,0,0,0,0,0,33
0,184,22.2,-0.277457594871521,-5.40819164598361E-05,0,0,0,0,0,33
0,185,22.32,-0.276235729455948,-5.45854854863137E-05,0,0,0,0,0,33
0,186,22.44,-0.275401771068573,-5.48959433217533E-05,0,0,0,0,0,33
0,187,22.56,-0.274044126272202,-5.34058308403473E-05,0,0,0,0,0,33
0,188,22.68,-0.272686511278152,-5.26959411217831E-05,0,0,0,0,0,33
0,189,22.8,-0.271833121776581,-5.53354002477136E-05,0,0,0,0,0,33
0,190,22.92,-0.269835472106934,-5.10671125084627E-05,0,0,0,0,0,33
0,191,23.04,-0.269001513719559,-5.30953766428865E-05,0,0,0,0,0,33
0,192,23.16,-0.267895996570587,-5.09381134179421E-05,0,0,0,0,0,33
0,193,23.28,-0.266984462738037,-5.35900071554352E-05,0,0,0,0,0,33
0,194,23.4,-0.265840172767639,-5.47234230907634E-05,0,0,0,0,0,33
0,195,23.52,-0.263842523097992,-4.96889078931417E-05,0,0,0,0,0,33
0,196,23.64,-0.263202488422394,-5.22467707924079E-05,0,0,0,0,0,33
0,197,23.76,-0.261961221694946,-5.21072761330288E-05,0,0,0,0,0,33
0,198,23.88,-0.260506629943848,-4.97285400342662E-05,0,0,0,0,0,33
0,199,24,-0.259575664997101,-5.08242665091529E-05,0,0,0,0,0,33
0,200,24.12,-0.258431375026703,-5.20855173817836E-05,0,0,0,0,0,33
0,201,24.24,-0.257190138101578,-4.97545734106097E-05,0,0,0,0,0,33
0,202,24.36,-0.255774319171906,-4.93504740006756E-05,0,0,0,0,0,33
0,203,24.48,-0.254804581403732,-4.94907435495406E-05,0,0,0,0,0,33
0,204,24.6,-0.25354391336441,-4.79843110952061E-05,0,0,0,0,0,33
0,205,24.72,-0.252671152353287,-5.17439766554162E-05,0,0,0,0,0,33
0,206,24.84,-0.251449286937714,-4.92346844112035E-05,0,0,0,0,0,33
0,207,24.96,-0.250091671943665,-5.0257753173355E-05,0,0,0,0,0,33
0,208,25.08,-0.248889192938805,-4.93026818730868E-05,0,0,0,0,0,33
0,209,25.2,-0.24735701084137,-4.79637201351579E-05,0,0,0,0,0,33
0,210,25.32,-0.246212720870972,-4.82465875393245E-05,0,0,0,0,0,33
0,211,25.44,-0.245242983102798,-4.95183303428348E-05,0,0,0,0,0,33
0,212,25.56,-0.243924140930176,-4.63516007584985E-05,0,0,0,0,0,33
0,213,25.68,-0.242605298757553,-4.54011933470611E-05,0,0,0,0,0,33
0,214,25.8,-0.241557985544205,-4.9052840040531E-05,0,0,0,0,0,33
0,215,25.92,-0.240452483296394,-4.54691908089444E-05,0,0,0,0,0,33
0,216,26.04,-0.238959088921547,-4.48323480668478E-05,0,0,0,0,0,33
0,217,26.16,-0.23847422003746,-4.88830410176888E-05,0,0,0,0,0,33
0,218,26.28,-0.236224442720413,-4.07144325436093E-05,0,0,0,0,0,33
0,219,26.4,-0.23540985584259,-4.462563447305E-05,0,0,0,0,0,33
0,220,26.52,-0.234634071588516,-4.66554520244244E-05,0,0,0,0,0,33
0,221,26.64,-0.23269459605217,-4.25822217948735E-05,0,0,0,0,0,33
0,222,26.76,-0.23219034075737,-4.78246147395112E-05,0,0,0,0,0,33
0,223,26.88,-0.230638757348061,-4.23840574512724E-05,0,0,0,0,0,33
0,224,27,-0.229921162128448,-4.63807409687433E-05,0,0,0,0,0,33
0,225,27.12,-0.228815659880638,-4.63655887870118E-05,0,0,0,0,0,33
0,226,27.24,-0.226992547512054,-4.27974810008891E-05,0,0,0,0,0,33
0,227,27.36,-0.225615531206131,-3.9317186747212E-05,0,0,0,0,0,33
0,228,27.48,-0.22485913336277,-4.25725083914585E-05,0,0,0,0,0,33
0,229,27.6,-0.224199712276459,-4.64250369986985E-05,0,0,0,0,0,33
0,230,27.72,-0.221930533647537,-4.04315651394427E-05,0,0,0,0,0,33
0,231,27.84,-0.221057772636414,-4.22768171119969E-05,0,0,0,0,0,33
0,232,27.96,-0.219991058111191,-4.01277138735168E-05,0,0,0,0,0,33
0,233,28.08,-0.219292849302292,-4.38524111814331E-05,0,0,0,0,0,33
0,234,28.2,-0.21737277507782,-4.13749767176341E-05,0,0,0,0,0,33
0,235,28.32,-0.216364249587059,-3.92511319660116E-05,0,0,0,0,0,33
0,236,28.44,-0.215258747339249,-4.14577407354955E-05,0,0,0,0,0,33
0,237,28.56,-0.2139593064785,-4.01168326789048E-05,0,0,0,0,0,33
0,238,28.68,-0.213008970022202,-4.23413148382679E-05,0,0,0,0,0,33
0,239,28.8,-0.211476787924767,-3.75037961930502E-05,0,0,0,0,0,33
0,240,28.92,-0.210604012012482,-4.31623338954523E-05,0,0,0,0,0,33
0,241,29.04,-0.209149420261383,-3.81938698410522E-05,0,0,0,0,0,33
0,242,29.16,-0.207908153533936,-3.99062373617198E-05,0,0,0,0,0,33
0,243,29.28,-0.206550523638725,-3.80030905944295E-05,0,0,0,0,0,33
0,244,29.4,-0.205406233668327,-3.98195879824925E-05,0,0,0,0,0,33
0,245,29.52,-0.204261943697929,-3.86519786843564E-05,0,0,0,0,0,33
0,246,29.64,-0.203311607241631,-3.9429865864804E-05,0,0,0,0,0,33
0,247,29.76,-0.201430320739746,-3.61131533281878E-05,0,0,0,0,0,33
0,248,29.88,-0.20075149834156,-3.8511319871759E-05,0,0,0,0,0,33
0,249,30,-0.199374482035637,-3.62744067388121E-05,0,0,0,0,0,33
0,250,30.12,-0.198579296469688,-3.66295462299604E-05,0,0,0,0,0,33
0,251,30.24,-0.197551369667053,-3.88684056815691E-05,0,0,0,0,0,33
0,252,30.36,-0.195359766483307,-3.63952458428685E-05,0,0,0,0,0,33
0,253,30.48,-0.195010662078857,-3.80776946258266E-05,0,0,0,0,0,33
0,254,30.6,-0.193536669015884,-3.63342442142311E-05,0,0,0,0,0,33
0,255,30.72,-0.192644506692886,-3.54805852111895E-05,0,0,0,0,0,33
0,256,30.84,-0.190879598259926,-3.46603446814697E-05,0,0,0,0,0,33
0,257,30.96,-0.190103799104691,-3.79277116735466E-05,0,0,0,0,0,33
0,258,31.08,-0.188881933689117,-3.61601705662906E-05,0,0,0,0,0,33
0,259,31.2,-0.187291577458382,-3.32949603034649E-05,0,0,0,0,0,33
0,260,31.32,-0.186224862933159,-3.58804099960253E-05,0,0,0,0,0,33
0,261,31.44,-0.185390889644623,-3.49540932802483E-05,0,0,0,0,0,33
0,262,31.56,-0.183490201830864,-3.07852787955198E-05,0,0,0,0,0,33
0,263,31.68,-0.182733818888664,-3.55353731720243E-05,0,0,0,0,0,33
0,264,31.8,-0.181279212236404,-3.27890593325719E-05,0,0,0,0,0,33
0,265,31.92,-0.180018544197083,-3.04301374853821E-05,0,0,0,0,0,33
0,266,32.04,-0.179068207740784,-3.30929105984978E-05,0,0,0,0,0,33
0,267,32.16,-0.178369998931885,-3.52120950992685E-05,0,0,0,0,0,33
0,268,32.28,-0.176799029111862,-3.37002238666173E-05,0,0,0,0,0,33
0,269,32.4,-0.175829291343689,-3.52338538505137E-05,0,0,0,0,0,33
0,270,32.52,-0.17367647588253,-2.78365278063575E-05,0,0,0,0,0,33
0,271,32.64,-0.173443749547005,-3.61768798029516E-05,0,0,0,0,0,33
0,272,32.76,-0.172474011778831,-3.48507383023389E-05,0,0,0,0,0,33
0,273,32.88,-0.170418173074722,-3.25357214023825E-05,0,0,0,0,0,33
0,274,33,-0.169855713844299,-3.34565993398428E-05,0,0,0,0,0,33
0,275,33.12,-0.168459296226501,-3.14570897899102E-05,0,0,0,0,0,33
0,276,33.24,-0.167373195290565,-3.32603776769247E-05,0,0,0,0,0,33
0,277,33.36,-0.165918588638306,-3.1312938517658E-05,0,0,0,0,0,33
0,278,33.48,-0.164716124534607,-3.07499176415149E-05,0,0,0,0,0,33
0,279,33.6,-0.163726985454559,-3.41031554853544E-05,0,0,0,0,0,33
0,280,33.72,-0.162136629223824,-2.91117685264908E-05,0,0,0,0,0,33
0,281,33.84,-0.161690548062325,-3.20830549753737E-05,0,0,0,0,0,33
0,282,33.96,-0.159751072525978,-2.77514336630702E-05,0,0,0,0,0,33
0,283,34.08,-0.158567994832993,-2.93654957204126E-05,0,0,0,0,0,33
0,284,34.2,-0.157753422856331,-3.19913560815621E-05,0,0,0,0,0,33
0,285,34.32,-0.156453967094421,-3.0409933970077E-05,0,0,0,0,0,33
0,286,34.44,-0.154960572719574,-2.86412268906133E-05,0,0,0,0,0,33
0,287,34.56,-0.153661131858826,-2.79593114100862E-05,0,0,0,0,0,33
0,288,34.68,-0.152381077408791,-2.61187233263627E-05,0,0,0,0,0,33
0,289,34.8,-0.151275590062141,-2.76286500593415E-05,0,0,0,0,0,33
0,290,34.92,-0.15102344751358,-3.25994442391675E-05,0,0,0,0,0,33
0,291,35.04,-0.148618504405022,-2.48772867053049E-05,0,0,0,0,0,33
0,292,35.16,-0.148327589035034,-2.92469849227928E-05,0,0,0,0,0,33
0,293,35.28,-0.147008746862412,-2.72606885118876E-05,0,0,0,0,0,33
0,294,35.4,-0.145670503377914,-2.84819197986508E-05,0,0,0,0,0,33
0,295,35.52,-0.144952908158302,-3.12799093080685E-05,0,0,0,0,0,33
0,296,35.64,-0.142625540494919,-2.40648168983171E-05,0,0,0,0,0,33
0,297,35.76,-0.14208248257637,-2.75995098490966E-05,0,0,0,0,0,33
0,298,35.88,-0.140802443027496,-2.41098896367475E-05,0,0,0,0,0,33
0,299,36,-0.139716327190399,-2.58024392678635E-05,0,0,0,0,0,33
0,300,36.12,-0.1390181183815,-3.01841828331817E-05,0,0,0,0,0,33
0,301,36.24,-0.137059256434441,-2.66172392002773E-05,0,0,0,0,0,33
0,302,36.36,-0.135759815573692,-2.50525263254531E-05,0,0,0,0,0,33
0,303,36.48,-0.134537950158119,-2.5197068680427E-05,0,0,0,0,0,33
0,304,36.6,-0.133102729916573,-2.3240301743499E-05,0,0,0,0,0,33
0,305,36.72,-0.13238513469696,-2.53466623689746E-05,0,0,0,0,0,33
0,306,36.84,-0.131143867969513,-2.55696941167116E-05,0,0,0,0,0,33
0,307,36.96,-0.129805639386177,-2.61397053691326E-05,0,0,0,0,0,33
0,308,37.08,-0.128486797213554,-2.19009489228483E-05,0,0,0,0,0,33
0,309,37.2,-0.127032190561295,-2.1401654521469E-05,0,0,0,0,0,33
0,310,37.32,-0.126683086156845,-2.74223275482655E-05,0,0,0,0,0,33
0,311,37.44,-0.125170290470123,-2.45167066168506E-05,0,0,0,0,0,33
0,312,37.56,-0.123599320650101,-2.22347189264838E-05,0,0,0,0,0,33
0,313,37.68,-0.122726559638977,-2.43006707023596E-05,0,0,0,0,0,33
0,314,37.8,-0.121679246425629,-2.22339422180085E-05,0,0,0,0,0,33
0,315,37.92,-0.120496168732643,-2.26081210712437E-05,0,0,0,0,0,33
0,316,38.04,-0.119293697178364,-2.45994688157225E-05,0,0,0,0,0,33
0,317,38.16,-0.117528773844242,-2.10068828891963E-05,0,0,0,0,0,33
0,318,38.28,-0.116694808006287,-2.32830425375141E-05,0,0,0,0,0,33
0,319,38.4,-0.115531124174595,-2.19339763134485E-05,0,0,0,0,0,33
0,320,38.52,-0.11450320482254,-2.2889824322192E-05,0,0,0,0,0,33
0,321,38.64,-0.113552860915661,-2.4496113837813E-05,0,0,0,0,0,33
0,322,38.76,-0.111613392829895,-2.04920470423531E-05,0,0,0,0,0,33
0,323,38.88,-0.111206099390984,-2.61144487012643E-05,0,0,0,0,0,33
0,324,39,-0.10998423397541,-2.37776748690521E-05,0,0,0,0,0,33
0,325,39.12,-0.108141735196114,-2.06804961635498E-05,0,0,0,0,0,33
0,326,39.24,-0.107288368046284,-2.30658406508155E-05,0,0,0,0,0,33
0,327,39.36,-0.105329498648643,-1.6930933270487E-05,0,0,0,0,0,33
0,328,39.48,-0.104534320533276,-1.7362230209983E-05,0,0,0,0,0,33
0,329,39.6,-0.103777922689915,-2.24266659643035E-05,0,0,0,0,0,33
0,330,39.72,-0.102381505072117,-1.94580989045789E-05,0,0,0,0,0,33
0,331,39.84,-0.101276002824306,-1.9240120309405E-05,0,0,0,0,0,33
0,332,39.96,-0.100015349686146,-2.02429819182726E-05,0,0,0,0,0,33
0,333,40.08,-0.0985025614500046,-1.80305451067397E-05,0,0,0,0,0,33
0,334,40.2,-0.0974940359592438,-2.0981626221328E-05,0,0,0,0,0,33
0,335,40.32,-0.0965242981910706,-2.04528023459716E-05,0,0,0,0,0,33
0,336,40.44,-0.0952442511916161,-2.12388513318729E-05,0,0,0,0,0,33
0,337,40.56,-0.0939835906028748,-1.90722639672458E-05,0,0,0,0,0,33
0,338,40.68,-0.0926841497421265,-2.11036331165815E-05,0,0,0,0,0,33
0,339,40.8,-0.0906477048993111,-1.46147513078176E-05,0,0,0,0,0,33
0,340,40.92,-0.0908222571015358,-1.90796454262454E-05,0,0,0,0,0,33
