Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.57102245092392,1.51689903304941E-06,0,0,0,0,0,41
0,1,2,0.57108062505722,1.52078905557573E-06,0,0,0,0,0,41
0,2,3,0.571138799190521,1.51689903304941E-06,0,0,0,0,0,41
0,3,4,0.571216344833374,1.51689903304941E-06,0,0,0,0,0,41
0,4,5,0.57127457857132,1.51300889683625E-06,0,0,0,0,0,41
0,5,6,0.57133275270462,1.51689903304941E-06,0,0,0,0,0,41
0,6,7,0.571390926837921,1.51300889683625E-06,0,0,0,0,0,41
0,7,8,0.571449100971222,1.51300889683625E-06,0,0,0,0,0,41
0,8,9,0.571526706218719,1.51300889683625E-06,0,0,0,0,0,41
0,9,10,0.57158488035202,1.51300889683625E-06,0,0,0,0,0,41
0,10,11,0.571643054485321,1.51300889683625E-06,0,0,0,0,0,41
0,11,12,0.571720659732819,1.51300889683625E-06,0,0,0,0,0,41
0,12,13,0.571778833866119,1.51300889683625E-06,0,0,0,0,0,41
0,13,14,0.571856379508972,1.51300889683625E-06,0,0,0,0,0,41
0,14,15,0.571914553642273,1.51300889683625E-06,0,0,0,0,0,41
0,15,16,0.571972787380219,1.51300889683625E-06,0,0,0,0,0,41
0,16,17,0.572030961513519,1.51300889683625E-06,0,0,0,0,0,41
0,17,18,0.57208913564682,1.51300889683625E-06,0,0,0,0,0,41
0,18,19,0.572147309780121,1.51300889683625E-06,0,0,0,0,0,41
0,19,20,0.572127938270569,1.51300889683625E-06,0,0,0,0,0,41
0,20,21,0.57218611240387,1.51300889683625E-06,0,0,0,0,0,41
0,21,22,0.572263658046722,1.51300889683625E-06,0,0,0,0,0,41
0,22,23,0.572321891784668,1.51300889683625E-06,0,0,0,0,0,41
0,23,24,0.572360634803772,1.51300889683625E-06,0,0,0,0,0,41
0,24,25,0.572380065917969,1.51300889683625E-06,0,0,0,0,0,41
0,25,26,0.57243824005127,1.51300889683625E-06,0,0,0,0,0,41
0,26,27,0.572477042675018,1.51300889683625E-06,0,0,0,0,0,41
0,27,28,0.572535216808319,1.51300889683625E-06,0,0,0,0,0,41
0,28,29,0.57259339094162,1.51689903304941E-06,0,0,0,0,0,41
0,29,30,0.572632193565369,1.51300889683625E-06,0,0,0,0,0,41
0,30,31,0.572670996189117,1.51689903304941E-06,0,0,0,0,0,41
0,31,32,0.572729170322418,1.51300889683625E-06,0,0,0,0,0,41
0,32,33,0.572806715965271,1.51689903304941E-06,0,0,0,0,0,41
0,33,34,0.572864890098572,1.51689903304941E-06,0,0,0,0,0,41
0,34,35,0.572923123836517,1.51689903304941E-06,0,0,0,0,0,41
0,35,36,0.572981297969818,1.51689903304941E-06,0,0,0,0,0,41
0,36,37,0.573039472103119,1.51689903304941E-06,0,0,0,0,0,41
0,37,38,0.57309764623642,1.51689903304941E-06,0,0,0,0,0,41
0,38,39,0.57315582036972,1.51689903304941E-06,0,0,0,0,0,41
0,39,40,0.573214054107666,1.51689903304941E-06,0,0,0,0,0,41
0,40,41,0.573272228240967,1.51689903304941E-06,0,0,0,0,0,41
0,41,42,0.573330402374268,1.51689903304941E-06,0,0,0,0,0,41
0,42,43,0.573388576507568,1.51689903304941E-06,0,0,0,0,0,41
0,43,44,0.573446750640869,1.51300889683625E-06,0,0,0,0,0,41
0,44,45,0.57350492477417,1.51689903304941E-06,0,0,0,0,0,41
0,45,46,0.573563158512115,1.51689903304941E-06,0,0,0,0,0,41
0,46,47,0.573621332645416,1.51689903304941E-06,0,0,0,0,0,41
0,47,48,0.573679506778717,1.51689903304941E-06,0,0,0,0,0,41
0,48,49,0.573718309402466,1.51689903304941E-06,0,0,0,0,0,41
0,49,50,0.573795855045319,1.51689903304941E-06,0,0,0,0,0,41
0,50,51,0.573834657669067,1.51689903304941E-06,0,0,0,0,0,41
0,51,52,0.573892831802368,1.51689903304941E-06,0,0,0,0,0,41
0,52,53,0.573951005935669,1.51689903304941E-06,0,0,0,0,0,41
0,53,54,0.57400918006897,1.51689903304941E-06,0,0,0,0,0,41
0,54,55,0.574047982692719,1.51689903304941E-06,0,0,0,0,0,41
0,55,56,0.574086785316467,1.51689903304941E-06,0,0,0,0,0,41
0,56,57,0.574125587940216,1.51689903304941E-06,0,0,0,0,0,41
0,57,58,0.574183762073517,1.51689903304941E-06,0,0,0,0,0,41
0,58,59,0.574222564697266,1.51689903304941E-06,0,0,0,0,0,41
