Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.742814421653748,-0.000794794759713113,0,0,0,0,0,3
0,1,2,-0.755207657814026,-0.000749218568671495,0,0,0,0,0,3
0,2,3,-0.743376851081848,-0.000488882535137236,0,0,0,0,0,3
0,3,4,-0.756856203079224,-0.000504232768435031,0,0,0,0,0,3
0,4,5,-0.745878756046295,-0.000349555310094729,0,0,0,0,0,3
0,5,6,-0.754199087619781,-0.000380710989702493,0,0,0,0,0,3
0,6,7,-0.739342749118805,-0.000216533924685791,0,0,0,0,0,3
0,7,8,-0.750514090061188,-0.000290040945401415,0,0,0,0,0,3
0,8,9,-0.757282853126526,-0.00033018269459717,0,0,0,0,0,3
0,9,10,-0.749990463256836,-0.000252221536356956,0,0,0,0,0,3
0,10,11,-0.75392758846283,-0.000273473066044971,0,0,0,0,0,3
0,11,12,-0.759222328662872,-0.000305966939777136,0,0,0,0,0,3
0,12,13,-0.744094491004944,-0.000163873875862919,0,0,0,0,0,3
0,13,14,-0.744734466075897,-0.000162290612934157,0,0,0,0,0,3
0,14,15,-0.745258152484894,-0.000158054303028621,0,0,0,0,0,3
0,15,16,-0.757554411888123,-0.000258628511801362,0,0,0,0,0,3
0,16,17,-0.742717444896698,-0.000121541983389761,0,0,0,0,0,3
0,17,18,-0.742096781730652,-0.000111754539830144,0,0,0,0,0,3
0,18,19,-0.742872595787048,-0.000114707108878065,0,0,0,0,0,3
0,19,20,-0.752104461193085,-0.000189816826605238,0,0,0,0,0,3
0,20,21,-0.75889265537262,-0.000249871925916523,0,0,0,0,0,3
0,21,22,-0.745238780975342,-0.000132049099192955,0,0,0,0,0,3
0,22,23,-0.753694832324982,-0.000202167851966806,0,0,0,0,0,3
0,23,24,-0.743590176105499,-0.000109996217361186,0,0,0,0,0,3
0,24,25,-0.749486207962036,-0.000157568050781265,0,0,0,0,0,3
0,25,26,-0.743454456329346,-0.00010230941552436,0,0,0,0,0,3
0,26,27,-0.746926069259644,-0.000130049593281001,0,0,0,0,0,3
0,27,28,-0.748497068881989,-0.000138891758979298,0,0,0,0,0,3
0,28,29,-0.756235539913177,-0.0002044279826805,0,0,0,0,0,3
0,29,30,-0.750688672065735,-0.000155665795318782,0,0,0,0,0,3
0,30,31,-0.743939280509949,-9.36150827328675E-05,0,0,0,0,0,3
0,31,32,-0.760230839252472,-0.000231417376198806,0,0,0,0,0,3
0,32,33,-0.747352778911591,-0.000115757437015418,0,0,0,0,0,3
0,33,34,-0.742756247520447,-7.9575773270335E-05,0,0,0,0,0,3
0,34,35,-0.745296955108643,-9.96135859168135E-05,0,0,0,0,0,3
0,35,36,-0.752705693244934,-0.000165379329700954,0,0,0,0,0,3
0,36,37,-0.751328706741333,-0.000151371146785095,0,0,0,0,0,3
0,37,38,-0.750901997089386,-0.000148216291563585,0,0,0,0,0,3
0,38,39,-0.748438894748688,-0.000125856095110066,0,0,0,0,0,3
0,39,40,-0.756468296051025,-0.000191435101442039,0,0,0,0,0,3
0,40,41,-0.743202328681946,-7.46898294892162E-05,0,0,0,0,0,3
0,41,42,-0.744327187538147,-8.51813820190728E-05,0,0,0,0,0,3
0,42,43,-0.742969572544098,-7.1962880610954E-05,0,0,0,0,0,3
0,43,44,-0.756895005702972,-0.000194379899767227,0,0,0,0,0,3
0,44,45,-0.755944609642029,-0.000181939409230836,0,0,0,0,0,3
0,45,46,-0.744172036647797,-7.81753406045027E-05,0,0,0,0,0,3
0,46,47,-0.746324837207794,-9.58168675424531E-05,0,0,0,0,0,3
0,47,48,-0.742116212844849,-5.75656813452952E-05,0,0,0,0,0,3
0,48,49,-0.753636658191681,-0.000159054063260555,0,0,0,0,0,3
0,49,50,-0.743182897567749,-6.54547693557106E-05,0,0,0,0,0,3
0,50,51,-0.755808889865875,-0.000174968387000263,0,0,0,0,0,3
0,51,52,-0.761452734470367,-0.000223279334022664,0,0,0,0,0,3
0,52,53,-0.753811240196228,-0.000155412941239774,0,0,0,0,0,3
0,53,54,-0.751968741416931,-0.000136732764076442,0,0,0,0,0,3
0,54,55,-0.745025396347046,-7.42852571420372E-05,0,0,0,0,0,3
0,55,56,-0.752220869064331,-0.000134853849885985,0,0,0,0,0,3
0,56,57,-0.754024565219879,-0.000151795160491019,0,0,0,0,0,3
0,57,58,-0.754160344600677,-0.000154074747115374,0,0,0,0,0,3
0,58,59,-0.748826801776886,-0.000104670696600806,0,0,0,0,0,3
0,59,60,-0.750068008899689,-0.000114932736323681,0,0,0,0,0,3
0,60,61,-0.75367546081543,-0.000146325706737116,0,0,0,0,0,3
0,61,62,-0.748186767101288,-9.5606803370174E-05,0,0,0,0,0,3
0,62,63,-0.75266695022583,-0.000134453177452087,0,0,0,0,0,3
0,63,64,-0.748322486877441,-9.58129749051295E-05,0,0,0,0,0,3
0,64,65,-0.752802670001984,-0.000135165057145059,0,0,0,0,0,3
0,65,66,-0.74628609418869,-7.70433252910152E-05,0,0,0,0,0,3
0,66,67,-0.756254971027374,-0.000160691779456101,0,0,0,0,0,3
0,67,68,-0.74805098772049,-9.40468817134388E-05,0,0,0,0,0,3
0,68,69,-0.75383061170578,-0.000141548676765524,0,0,0,0,0,3
0,69,70,-0.75920295715332,-0.000186195160495117,0,0,0,0,0,3
0,70,71,-0.751251101493835,-0.000119807009468786,0,0,0,0,0,3
0,71,72,-0.751619637012482,-0.000121001263323706,0,0,0,0,0,3
0,72,73,-0.747973382472992,-8.92387397470884E-05,0,0,0,0,0,3
0,73,74,-0.744521141052246,-6.01603678660467E-05,0,0,0,0,0,3
0,74,75,-0.742756247520447,-4.37753369624261E-05,0,0,0,0,0,3
0,75,76,-0.748186767101288,-9.17050492716953E-05,0,0,0,0,0,3
0,76,77,-0.749932289123535,-0.000101935969723854,0,0,0,0,0,3
0,77,78,-0.75423789024353,-0.000142692369990982,0,0,0,0,0,3
0,78,79,-0.748283743858337,-8.78810969879851E-05,0,0,0,0,0,3
0,79,80,-0.747430384159088,-8.04315932327881E-05,0,0,0,0,0,3
0,80,81,-0.751367509365082,-0.000114357004349586,0,0,0,0,0,3
