Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,1,0.024,0.00165175087749958,-1.66515601449646E-05,0,0,0,0,0,33
0,2,0.036,0.00215601362287998,-1.42821472763899E-05,0,0,0,0,0,33
0,3,0.048,0.00312574929557741,-1.29396876218379E-05,0,0,0,0,0,33
0,4,0.06,0.00324211758561432,-1.28720785141923E-05,0,0,0,0,0,33
0,5,0.072,0.00397911667823792,-1.20689337563817E-05,0,0,0,0,0,33
0,6,0.084,0.00465793209150434,-1.16430765046971E-05,0,0,0,0,0,33
0,7,0.096,0.00543372053653002,-9.55808627622901E-06,0,0,0,0,0,33
0,8,0.108,0.0057634306140244,-1.0818561349879E-05,0,0,0,0,0,33
0,9,0.12,0.00642285123467445,-1.03810471046017E-05,0,0,0,0,0,33
0,10,0.132,0.00735379755496979,-9.61170644586673E-06,0,0,0,0,0,33
0,11,0.144,0.00787745509296656,-1.05011113191722E-05,0,0,0,0,0,33
0,12,0.156,0.00853687524795532,-1.04335022115265E-05,0,0,0,0,0,33
0,13,0.168,0.00911871623247862,-5.94879111304181E-06,0,0,0,0,0,33
0,14,0.18,0.00962297897785902,-1.02811882243259E-05,0,0,0,0,0,33
0,15,0.192,0.00958418939262629,-1.30772359625553E-05,0,0,0,0,0,33
0,16,0.204,0.0104957409203053,-9.00322811503429E-06,0,0,0,0,0,33
0,17,0.216,0.011446082033217,-8.74989018484484E-06,0,0,0,0,0,33
0,18,0.228,0.0120667135342956,-9.58878172241384E-06,0,0,0,0,0,33
0,19,0.24,0.0123770283535123,-9.61714613367803E-06,0,0,0,0,0,33
0,20,0.252,0.0132303964346647,-9.62724880082533E-06,0,0,0,0,0,33
0,21,0.264,0.0136376852169633,-9.08676793187624E-06,0,0,0,0,0,33
0,22,0.276,0.0142583157867193,-7.61142155170091E-06,0,0,0,0,0,33
0,23,0.288,0.0152474464848638,-7.57800580686308E-06,0,0,0,0,0,33
0,24,0.3,0.0155771570280194,-9.52933260123245E-06,0,0,0,0,0,33
0,25,0.312,0.0156935248523951,-1.21536386359367E-05,0,0,0,0,0,33
0,26,0.324,0.0170123651623726,-4.72717192678829E-06,0,0,0,0,0,33
0,27,0.336,0.0173032861202955,-8.62671822687844E-06,0,0,0,0,0,33
0,28,0.348,0.0182924177497625,-8.78175160323735E-06,0,0,0,0,0,33
0,29,0.36,0.0183118116110563,-8.47012961457949E-06,0,0,0,0,0,33
0,30,0.372,0.0194560997188091,-9.8320178949507E-06,0,0,0,0,0,33
0,31,0.384,0.0196500476449728,-7.21198603059747E-06,0,0,0,0,0,33
0,32,0.396,0.0202318876981735,-7.10824178895564E-06,0,0,0,0,0,33
0,33,0.408,0.0209688879549503,-4.64557524537668E-06,0,0,0,0,0,33
0,34,0.42,0.0213761776685715,-9.74031900113914E-06,0,0,0,0,0,33
0,35,0.432,0.0220549926161766,-1.08504227682715E-05,0,0,0,0,0,33
0,36,0.444,0.0227144118398428,-7.30834790374502E-06,0,0,0,0,0,33
0,37,0.456,0.0230829119682312,-1.13419455374242E-05,0,0,0,0,0,33
0,39,0.48,0.0246150940656662,-7.96516178525053E-06,0,0,0,0,0,33
0,40,0.492,0.0254296716302633,-8.0487643572269E-06,0,0,0,0,0,33
0,41,0.504,0.025487856939435,-8.21818684926257E-06,0,0,0,0,0,33
0,42,0.516,0.0262830406427383,-8.01748592493823E-06,0,0,0,0,0,33
0,43,0.528,0.0268260911107063,-7.81067774369149E-06,0,0,0,0,0,33
0,44,0.54,0.0274661183357239,-8.02223257778678E-06,0,0,0,0,0,33
0,45,0.552,0.0278734061866999,-7.50279968997347E-06,0,0,0,0,0,33
0,46,0.564,0.028416458517313,-7.73991359892534E-06,0,0,0,0,0,33
0,47,0.576,0.0289595108479261,-7.78251251176698E-06,0,0,0,0,0,33
0,48,0.588,0.0299098510295153,-7.50890785639058E-06,0,0,0,0,0,33
0,49,0.6,0.0301619824022055,-7.59169324737741E-06,0,0,0,0,0,33
0,50,0.612,0.0311511140316725,-7.79309357312741E-06,0,0,0,0,0,33
0,51,0.624,0.0318881124258041,-7.52050073060673E-06,0,0,0,0,0,33
0,52,0.636,0.0320626646280289,-7.22973982192343E-06,0,0,0,0,0,33
0,53,0.648,0.0329742170870304,-7.38733569960459E-06,0,0,0,0,0,33
0,54,0.66,0.0334978736937046,-7.49338551031542E-06,0,0,0,0,0,33
0,55,0.672,0.0344094261527061,-7.2027414717013E-06,0,0,0,0,0,33
0,56,0.684,0.0346227660775185,-7.14057432560367E-06,0,0,0,0,0,33
0,57,0.696,0.0352046079933643,-7.30311103325221E-06,0,0,0,0,0,33
0,58,0.708,0.0359028205275536,-7.09890946382075E-06,0,0,0,0,0,33
0,59,0.72,0.0363295041024685,-6.89618582327967E-06,0,0,0,0,0,33
0,60,0.732,0.0368337668478489,-7.24125538908993E-06,0,0,0,0,0,33
0,61,0.744,0.0376871339976788,-6.78542892273981E-06,0,0,0,0,0,33
0,62,0.756,0.0380168445408344,-6.8559602368623E-06,0,0,0,0,0,33
0,63,0.768,0.0389089994132519,-6.90563911120989E-06,0,0,0,0,0,33
0,64,0.78,0.039587814360857,-6.78169453749433E-06,0,0,0,0,0,33
0,65,0.792,0.0402472354471684,-6.83681992086349E-06,0,0,0,0,0,33
0,66,0.804,0.0407514981925488,-6.91567629473866E-06,0,0,0,0,0,33
0,67,0.816,0.0413721278309822,-7.24304481991567E-06,0,0,0,0,0,33
0,68,0.828,0.0417018383741379,-6.39725521978107E-06,0,0,0,0,0,33
0,69,0.84,0.0427879430353642,-6.76691115586436E-06,0,0,0,0,0,33
0,70,0.852,0.0427879430353642,-6.89420176058775E-06,0,0,0,0,0,33
0,71,0.864,0.0433115996420383,-6.51038499199785E-06,0,0,0,0,0,33
0,72,0.876,0.0442619398236275,-6.56286511002691E-06,0,0,0,0,0,33
0,73,0.888,0.0446886233985424,-6.89813123244676E-06,0,0,0,0,0,33
0,74,0.9,0.0455807819962502,-6.12874691796605E-06,0,0,0,0,0,33
0,75,0.912,0.0460850447416306,-6.69085602567066E-06,0,0,0,0,0,33
0,76,0.924,0.0465311221778393,-6.7754699557554E-06,0,0,0,0,0,33
0,77,0.936,0.0475202538073063,-6.5066114984802E-06,0,0,0,0,0,33
0,78,0.948,0.0477141998708248,-5.93711092733429E-06,0,0,0,0,0,33
0,79,0.96,0.0485287792980671,-6.41005453871912E-06,0,0,0,0,0,33
0,80,0.972,0.0490912273526192,-6.16255374552566E-06,0,0,0,0,0,33
0,81,0.984,0.049226988106966,-5.84810095460853E-06,0,0,0,0,0,33
0,82,0.996,0.0504682511091232,-6.33508852843079E-06,0,0,0,0,0,33
0,83,1.008,0.0506621971726418,-6.24421090833494E-06,0,0,0,0,0,33
0,84,1.02,0.0515155643224716,-6.17943760516937E-06,0,0,0,0,0,33
0,85,1.032,0.0518646687269211,-6.18457261225558E-06,0,0,0,0,0,33
0,86,1.044,0.0526986420154572,-6.16780562268104E-06,0,0,0,0,0,33
0,87,1.056,0.0535326153039932,-5.98795713813161E-06,0,0,0,0,0,33
0,88,1.068,0.0537265613675117,-6.01036526859389E-06,0,0,0,0,0,33
0,89,1.08,0.054812666028738,-6.40744792690384E-06,0,0,0,0,0,33
0,90,1.092,0.0549872182309628,-5.94936545894598E-06,0,0,0,0,0,33
0,91,1.104,0.0555884540081024,-5.99460963712772E-06,0,0,0,0,0,33
0,92,1.116,0.056500006467104,-6.05199147685198E-06,0,0,0,0,0,33
0,93,1.128,0.0566357709467411,-5.79562083657947E-06,0,0,0,0,0,33
0,94,1.14,0.0576248988509178,-5.37395135324914E-06,0,0,0,0,0,33
0,95,1.152,0.0580709800124168,-5.96216432313668E-06,0,0,0,0,0,33
0,96,1.164,0.058749794960022,-5.97056759943371E-06,0,0,0,0,0,33
0,97,1.176,0.0592152662575245,-5.79083598495345E-06,0,0,0,0,0,33
0,98,1.188,0.0600686334073544,-5.63172261536238E-06,0,0,0,0,0,33
0,99,1.2,0.0599328726530075,-6.14516420682776E-06,0,0,0,0,0,33
0,100,1.212,0.0608832128345966,-5.3569510782836E-06,0,0,0,0,0,33
0,101,1.224,0.0617365799844265,-5.57706380277523E-06,0,0,0,0,0,33
0,102,1.236,0.0620662905275822,-5.77418541070074E-06,0,0,0,0,0,33
0,103,1.248,0.0628808662295341,-5.4618335525447E-06,0,0,0,0,0,33
0,104,1.26,0.0636178702116013,-5.49377273273421E-06,0,0,0,0,0,33
0,105,1.272,0.0640833377838135,-5.25541418028297E-06,0,0,0,0,0,33
0,106,1.284,0.0648203417658806,-5.49742935618269E-06,0,0,0,0,0,33
0,107,1.296,0.0651112645864487,-5.3697499424743E-06,0,0,0,0,0,33
0,108,1.308,0.0655961260199547,-5.0741650738928E-06,0,0,0,0,0,33
0,109,1.32,0.0663525238633156,-6.66226242174162E-06,0,0,0,0,0,33
0,110,1.332,0.0667792037129402,-5.19912146046408E-06,0,0,0,0,0,33
0,111,1.344,0.0676907598972321,-5.08459106640657E-06,0,0,0,0,0,33
0,112,1.356,0.0682338103652,-5.29225508216769E-06,0,0,0,0,0,33
0,113,1.368,0.0686798915266991,-5.06268906974583E-06,0,0,0,0,0,33
0,114,1.38,0.0697272047400475,-5.05346906720661E-06,0,0,0,0,0,33
0,115,1.392,0.0700763091444969,-5.3055991884321E-06,0,0,0,0,0,33
0,116,1.404,0.0705805718898773,-4.89882950205356E-06,0,0,0,0,0,33
0,117,1.416,0.0709878578782082,-5.19581499247579E-06,0,0,0,0,0,33
0,118,1.428,0.0717442557215691,-5.11470216224552E-06,0,0,0,0,0,33
0,119,1.44,0.0727721750736237,-4.96002394356765E-06,0,0,0,0,0,33
0,120,1.452,0.072985514998436,-4.87249235447962E-06,0,0,0,0,0,33
0,121,1.464,0.0738776698708534,-5.30050283487071E-06,0,0,0,0,0,33
0,122,1.476,0.0741491988301277,-5.09244955537724E-06,0,0,0,0,0,33
0,123,1.488,0.0749249905347824,-4.6782884055574E-06,0,0,0,0,0,33
0,124,1.5,0.0754486471414566,-5.03234468851588E-06,0,0,0,0,0,33
0,125,1.512,0.0760886669158936,-4.77402863907628E-06,0,0,0,0,0,33
0,126,1.524,0.0765347480773926,-4.57644046036876E-06,0,0,0,0,0,33
0,127,1.536,0.07742690294981,-4.89233252665144E-06,0,0,0,0,0,33
0,128,1.548,0.0779699608683586,-4.9413506530982E-06,0,0,0,0,0,33
0,129,1.56,0.0786681696772575,-4.96418670081766E-06,0,0,0,0,0,33
0,130,1.572,0.0790366679430008,-4.81553843201254E-06,0,0,0,0,0,33
0,131,1.584,0.0795021429657936,-4.68622465632507E-06,0,0,0,0,0,33
0,132,1.596,0.0801421627402306,-4.57753003502148E-06,0,0,0,0,0,33
0,133,1.608,0.0809761360287666,-4.74632997793378E-06,0,0,0,0,0,33
0,134,1.62,0.0816743448376656,-4.71960356662748E-06,0,0,0,0,0,33
0,135,1.632,0.0817131400108337,-4.29754527431214E-06,0,0,0,0,0,33
0,136,1.644,0.0827410593628883,-4.30820455221692E-06,0,0,0,0,0,33
0,137,1.656,0.0831483453512192,-4.9729787860997E-06,0,0,0,0,0,33
0,138,1.668,0.0840211063623428,-4.37928019891842E-06,0,0,0,0,0,33
0,139,1.68,0.0846223458647728,-4.61028639620054E-06,0,0,0,0,0,33
0,140,1.692,0.0854757130146027,-4.76309696750832E-06,0,0,0,0,0,33
0,141,1.704,0.0852429792284966,-4.63969672637177E-06,0,0,0,0,0,33
0,142,1.716,0.0860575512051582,-4.39573614130495E-06,0,0,0,0,0,33
0,143,1.728,0.0867169722914696,-4.59204056824092E-06,0,0,0,0,0,33
0,144,1.74,0.0873376056551933,-4.52399945061188E-06,0,0,0,0,0,33
0,145,1.752,0.0879194438457489,-4.13753741668188E-06,0,0,0,0,0,33
0,146,1.764,0.0885788649320602,-4.46015974375769E-06,0,0,0,0,0,33
0,147,1.776,0.0892382860183716,-4.38336519437144E-06,0,0,0,0,0,33
0,148,1.788,0.089587390422821,-4.05883656640071E-06,0,0,0,0,0,33
0,149,1.8,0.0908092558383942,-4.19001753471093E-06,0,0,0,0,0,33
0,150,1.812,0.0913717076182365,-4.47276443082956E-06,0,0,0,0,0,33
0,151,1.824,0.0914686769247055,-3.79355719815067E-06,0,0,0,0,0,33
0,152,1.836,0.0919729396700859,-4.03541707783006E-06,0,0,0,0,0,33
0,153,1.848,0.0928457081317902,-4.41013025920256E-06,0,0,0,0,0,33
0,154,1.86,0.0935051217675209,-3.95792221752345E-06,0,0,0,0,0,33
0,155,1.872,0.0939512029290199,-4.26969063482829E-06,0,0,0,0,0,33
0,156,1.884,0.0946106240153313,-3.96675341107766E-06,0,0,0,0,0,33
0,157,1.896,0.0950567051768303,-4.12516601500101E-06,0,0,0,0,0,33
0,158,1.908,0.0957937017083168,-3.49781680597516E-06,0,0,0,0,0,33
0,159,1.92,0.0965113043785095,-4.23440587837831E-06,0,0,0,0,0,33
0,160,1.932,0.0968991965055466,-3.94562903238693E-06,0,0,0,0,0,33
0,161,1.944,0.0974810421466827,-3.95053075408214E-06,0,0,0,0,0,33
0,162,1.956,0.0981016755104065,-3.77395008399617E-06,0,0,0,0,0,33
0,163,1.968,0.0986447259783745,-3.8045668588893E-06,0,0,0,0,0,33
0,164,1.98,0.0994205102324486,-3.67182974514435E-06,0,0,0,0,0,33
0,165,1.992,0.099924772977829,-3.88501803172403E-06,0,0,0,0,0,33
0,166,2.004,0.100603587925434,-3.8755647437938E-06,0,0,0,0,0,33
0,167,2.016,0.100855723023415,-3.70808743355155E-06,0,0,0,0,0,33
0,168,2.028,0.101922430098057,-3.59596901944315E-06,0,0,0,0,0,33
0,169,2.04,0.102019406855106,-3.61822162631142E-06,0,0,0,0,0,33
0,170,2.052,0.102756403386593,-3.59071714228776E-06,0,0,0,0,0,33
0,171,2.064,0.103803716599941,-3.70314683095785E-06,0,0,0,0,0,33
0,172,2.076,0.103939481079578,-3.80289407075907E-06,0,0,0,0,0,33
0,173,2.088,0.104792848229408,-3.57332760358986E-06,0,0,0,0,0,33
0,174,2.1,0.105219535529613,-3.35776621795958E-06,0,0,0,0,0,33
0,175,2.112,0.106286242604256,-3.5483906231093E-06,0,0,0,0,0,33
0,176,2.124,0.106674134731293,-3.92415449823602E-06,0,0,0,0,0,33
0,177,2.136,0.106926269829273,-3.55142515218176E-06,0,0,0,0,0,33
0,178,2.148,0.107934795320034,-3.30964326167305E-06,0,0,0,0,0,33
0,179,2.16,0.108245112001896,-3.61775482815574E-06,0,0,0,0,0,33
0,180,2.172,0.108885131776333,-3.16041132464306E-06,0,0,0,0,0,33
0,181,2.184,0.109447583556175,-3.3015123790392E-06,0,0,0,0,0,33
0,182,2.196,0.109971240162849,-3.49540482602606E-06,0,0,0,0,0,33
0,183,2.208,0.111134923994541,-3.44829345522157E-06,0,0,0,0,0,33
0,184,2.22,0.111697368323803,-3.10341852127749E-06,0,0,0,0,0,33
0,185,2.232,0.112143449485302,-3.61794923264824E-06,0,0,0,0,0,33
0,186,2.244,0.112434364855289,-3.51726839653566E-06,0,0,0,0,0,33
0,187,2.256,0.113113179802895,-3.11715120915324E-06,0,0,0,0,0,33
0,188,2.268,0.113888971507549,-3.23035897054069E-06,0,0,0,0,0,33
0,189,2.28,0.114567786455154,-3.60573380930873E-06,0,0,0,0,0,33
0,190,2.292,0.115033261477947,-3.01728732665651E-06,0,0,0,0,0,33
0,191,2.304,0.115304782986641,-3.18558159051463E-06,0,0,0,0,0,33
0,192,2.316,0.116313308477402,-3.52687743543356E-06,0,0,0,0,0,33
0,193,2.328,0.116623625159264,-3.12652696266014E-06,0,0,0,0,0,33
0,194,2.34,0.117438204586506,-3.09178653878917E-06,0,0,0,0,0,33
0,195,2.352,0.117884285748005,-3.16364025820803E-06,0,0,0,0,0,33
0,196,2.364,0.118369147181511,-3.10194013763976E-06,0,0,0,0,0,33
0,197,2.376,0.119144938886166,-2.98336408377509E-06,0,0,0,0,0,33
0,198,2.388,0.11992073059082,-3.38009658662486E-06,0,0,0,0,0,33
0,199,2.4,0.120211645960808,-3.32516538037453E-06,0,0,0,0,0,33
0,200,2.412,0.121278360486031,-2.56235603046662E-06,0,0,0,0,0,33
0,201,2.424,0.121336542069912,-3.27408588418621E-06,0,0,0,0,0,33
0,202,2.436,0.122306279838085,-3.17336616717512E-06,0,0,0,0,0,33
0,203,2.448,0.122694171965122,-2.85043256553763E-06,0,0,0,0,0,33
0,204,2.46,0.123372986912727,-2.83471581496997E-06,0,0,0,0,0,33
0,205,2.472,0.12358632683754,-3.17690614792809E-06,0,0,0,0,0,33
0,206,2.484,0.124459087848663,-2.8954043500562E-06,0,0,0,0,0,33
0,207,2.496,0.125254273414612,-2.90979846795381E-06,0,0,0,0,0,33
0,208,2.508,0.125661566853523,-3.22522373608081E-06,0,0,0,0,0,33
0,209,2.52,0.126417964696884,-2.76107243735169E-06,0,0,0,0,0,33
0,210,2.532,0.127096772193909,-2.64300183516752E-06,0,0,0,0,0,33
0,211,2.544,0.127523452043533,-2.922247404058E-06,0,0,0,0,0,33
0,212,2.556,0.128124698996544,-3.05475100503827E-06,0,0,0,0,0,33
0,213,2.568,0.129055634140968,-2.7141165901412E-06,0,0,0,0,0,33
0,214,2.58,0.129268974065781,-2.89100830741518E-06,0,0,0,0,0,33
0,215,2.592,0.129676267504692,-2.76566288448521E-06,0,0,0,0,0,33
0,216,2.604,0.130490854382515,-2.67568043454958E-06,0,0,0,0,0,33
0,217,2.616,0.131441190838814,-2.57391025115794E-06,0,0,0,0,0,33
0,218,2.628,0.131596341729164,-2.7140777092427E-06,0,0,0,0,0,33
0,219,2.64,0.132372140884399,-2.89054150925949E-06,0,0,0,0,0,33
0,220,2.652,0.132682457566261,-2.41658653976629E-06,0,0,0,0,0,33
0,221,2.664,0.133555218577385,-2.99219504995563E-06,0,0,0,0,0,33
0,222,2.676,0.134292215108871,-2.32255820264982E-06,0,0,0,0,0,33
0,223,2.688,0.135048612952232,-2.5872150217765E-06,0,0,0,0,0,33
0,224,2.7,0.135378316044807,-2.43463750848605E-06,0,0,0,0,0,33
0,225,2.712,0.135882571339607,-2.93636912829243E-06,0,0,0,0,0,33
0,226,2.724,0.13669715821743,-2.66463189291244E-06,0,0,0,0,0,33
0,227,2.736,0.137395367026329,-2.50637458520941E-06,0,0,0,0,0,33
0,228,2.748,0.13780266046524,-2.76550736089121E-06,0,0,0,0,0,33
0,229,2.76,0.138365104794502,-2.3844527277106E-06,0,0,0,0,0,33
0,230,2.772,0.139179676771164,-2.35449738283933E-06,0,0,0,0,0,33
0,231,2.784,0.1397615224123,-2.59841908700764E-06,0,0,0,0,0,33
0,232,2.796,0.140362754464149,-2.5091756015172E-06,0,0,0,0,0,33
0,233,2.808,0.140905812382698,-2.29338093049591E-06,0,0,0,0,0,33
0,234,2.82,0.141545832157135,-2.13963630812941E-06,0,0,0,0,0,33
0,235,2.832,0.142069488763809,-2.79009395853791E-06,0,0,0,0,0,33
0,236,2.844,0.142554357647896,-2.54484962169954E-06,0,0,0,0,0,33
0,237,2.856,0.143097415566444,-2.31073158829531E-06,0,0,0,0,0,33
0,238,2.868,0.14393138885498,-2.65689027401095E-06,0,0,0,0,0,33
0,239,2.88,0.14443564414978,-2.00697718355514E-06,0,0,0,0,0,33
0,240,2.892,0.145250231027603,-2.32224692808813E-06,0,0,0,0,0,33
