Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.600011110305786,-0.000890148454345763,0,0,0,0,0,3
0,1,2,-0.599565029144287,-0.000658863573335111,0,0,0,0,0,3
0,2,3,-0.599720180034637,-0.000560176093131304,0,0,0,0,0,3
0,3,4,-0.599080145359039,-0.000482234376249835,0,0,0,0,0,3
0,4,5,-0.599584460258484,-0.000448001635959372,0,0,0,0,0,3
0,5,6,-0.599778413772583,-0.000416355818742886,0,0,0,0,0,3
0,6,7,-0.599506855010986,-0.000385425781132653,0,0,0,0,0,3
0,7,8,-0.600243866443634,-0.000383068370865658,0,0,0,0,0,3
0,8,9,-0.599351704120636,-0.000343502353643999,0,0,0,0,0,3
0,9,10,-0.598866820335388,-0.000320850376738235,0,0,0,0,0,3
0,10,11,-0.599700808525085,-0.000323624029988423,0,0,0,0,0,3
0,11,12,-0.600515365600586,-0.000324557651765645,0,0,0,0,0,3
0,12,13,-0.600399017333984,-0.000323238898999989,0,0,0,0,0,3
0,13,14,-0.600360214710236,-0.000312914606183767,0,0,0,0,0,3
0,14,15,-0.601659655570984,-0.000333403673721477,0,0,0,0,0,3
0,15,16,-0.598498344421387,-0.000258328975178301,0,0,0,0,0,3
0,16,17,-0.599797785282135,-0.00027506411424838,0,0,0,0,0,3
0,17,18,-0.599312901496887,-0.000259838328929618,0,0,0,0,0,3
0,18,19,-0.601077854633331,-0.000296338985208422,0,0,0,0,0,3
0,19,20,-0.600011110305786,-0.000260876986430958,0,0,0,0,0,3
0,20,21,-0.599584460258484,-0.000249895267188549,0,0,0,0,0,3
0,21,22,-0.600689947605133,-0.000271380209596828,0,0,0,0,0,3
0,22,23,-0.601349353790283,-0.000284365291008726,0,0,0,0,0,3
0,23,24,-0.599487483501434,-0.000238248365349136,0,0,0,0,0,3
0,24,25,-0.598828017711639,-0.000218724046135321,0,0,0,0,0,3
0,25,26,-0.600786924362183,-0.000260694156168029,0,0,0,0,0,3
0,26,27,-0.599623203277588,-0.000233179584029131,0,0,0,0,0,3
0,27,28,-0.600767493247986,-0.000247074960498139,0,0,0,0,0,3
0,28,29,-0.598886251449585,-0.000211126709473319,0,0,0,0,0,3
0,29,30,-0.599797785282135,-0.000222104528802447,0,0,0,0,0,3
0,30,31,-0.600631773471832,-0.000242562469793484,0,0,0,0,0,3
0,31,32,-0.599254727363586,-0.000203393225092441,0,0,0,0,0,3
0,32,33,-0.600651144981384,-0.000232245962251909,0,0,0,0,0,3
0,33,34,-0.598149240016937,-0.000175882552866824,0,0,0,0,0,3
0,34,35,-0.600631773471832,-0.000225232142838649,0,0,0,0,0,3
0,35,36,-0.599177122116089,-0.000195395215996541,0,0,0,0,0,3
0,36,37,-0.597935914993286,-0.00016931610298343,0,0,0,0,0,3
0,37,38,-0.600011110305786,-0.000210321464692242,0,0,0,0,0,3
0,38,39,-0.599797785282135,-0.000199627625988796,0,0,0,0,0,3
0,39,40,-0.599603831768036,-0.000194053136510774,0,0,0,0,0,3
0,40,41,-0.599215924739838,-0.000183293159352615,0,0,0,0,0,3
0,41,42,-0.599099576473236,-0.000183413751074113,0,0,0,0,0,3
