Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.12,-0.598188042640686,-0.0008461166289635,0,0,0,0,0,33
0,1,0.24,-0.595783054828644,-0.000560584536287934,0,0,0,0,0,33
0,2,0.36,-0.594929695129395,-0.00045805360423401,0,0,0,0,0,33
0,3,0.48,-0.594386637210846,-0.000409894390031695,0,0,0,0,0,33
0,4,0.6,-0.593048393726349,-0.000361357815563679,0,0,0,0,0,33
0,5,0.72,-0.591012001037598,-0.000315571553073823,0,0,0,0,0,33
0,6,0.84,-0.59027498960495,-0.00030420083203353,0,0,0,0,0,33
0,7,0.96,-0.589654326438904,-0.000291445263428614,0,0,0,0,0,33
0,8,1.08,-0.588917315006256,-0.000285073299892247,0,0,0,0,0,33
0,9,1.2,-0.589091897010803,-0.000295844947686419,0,0,0,0,0,33
0,10,1.32,-0.58631843328476,-0.000257224193774164,0,0,0,0,0,33
0,11,1.44,-0.585659027099609,-0.000258216168731451,0,0,0,0,0,33
0,12,1.56,-0.583545029163361,-0.00022874100250192,0,0,0,0,0,33
0,13,1.68,-0.583525598049164,-0.000240500725340098,0,0,0,0,0,33
0,14,1.8,-0.581818878650665,-0.000233829239732586,0,0,0,0,0,33
0,15,1.92,-0.578250229358673,-0.000180725706741214,0,0,0,0,0,33
0,16,2.04,-0.578696310520172,-0.00019780317961704,0,0,0,0,0,33
0,17,2.16,-0.578638136386871,-0.000224333532969467,0,0,0,0,0,33
0,18,2.28,-0.576582312583923,-0.000190587074030191,0,0,0,0,0,33
0,19,2.4,-0.575263440608978,-0.000191563478438184,0,0,0,0,0,33
0,20,2.52,-0.574138581752777,-0.000186416902579367,0,0,0,0,0,33
0,21,2.64,-0.573227047920227,-0.000191524581168778,0,0,0,0,0,33
0,22,2.76,-0.568669259548187,-0.000123066900414415,0,0,0,0,0,33
0,23,2.88,-0.570143282413483,-0.000167316597071476,0,0,0,0,0,33
0,24,3,-0.569716572761536,-0.00017627545457799,0,0,0,0,0,33
0,25,3.12,-0.568611085414886,-0.000172218104125932,0,0,0,0,0,33
0,26,3.24,-0.569115340709686,-0.000202272873139009,0,0,0,0,0,33
0,27,3.36,-0.564441204071045,-0.000137203460326418,0,0,0,0,0,33
0,28,3.48,-0.564208447933197,-0.000148745340993628,0,0,0,0,0,33
0,29,3.6,-0.564538180828094,-0.000173902502865531,0,0,0,0,0,33
0,30,3.72,-0.562482357025146,-0.00015526900824625,0,0,0,0,0,33
0,31,3.84,-0.561881124973297,-0.00016070733545348,0,0,0,0,0,33
0,32,3.96,-0.559068858623505,-0.000132500354084186,0,0,0,0,0,33
0,33,4.08,-0.557963371276855,-0.000132056884467602,0,0,0,0,0,33
0,34,4.2,-0.556547582149506,-0.000130430824356154,0,0,0,0,0,33
0,35,4.32,-0.556120872497559,-0.000136188144097105,0,0,0,0,0,33
0,36,4.44,-0.554802060127258,-0.000141435870318674,0,0,0,0,0,33
0,37,4.56,-0.551698863506317,-0.000101270765298977,0,0,0,0,0,33
0,38,4.68,-0.550263702869415,-9.29420930333436E-05,0,0,0,0,0,33
0,39,4.8,-0.55010849237442,-0.000107646606920753,0,0,0,0,0,33
0,40,4.92,-0.54919695854187,-0.000115111681225244,0,0,0,0,0,33
0,41,5.04,-0.548750877380371,-0.000123817691928707,0,0,0,0,0,33
0,42,5.16,-0.546889007091522,-0.00011348173575243,0,0,0,0,0,33
0,43,5.28,-0.54863452911377,-0.000154557128553279,0,0,0,0,0,33
0,44,5.4,-0.545376181602478,-0.000125428181490861,0,0,0,0,0,33
0,45,5.52,-0.545492589473724,-0.000142229444463737,0,0,0,0,0,33
0,46,5.64,-0.542544603347778,-0.000118787807878107,0,0,0,0,0,33
0,47,5.76,-0.541691184043884,-0.000120114324090537,0,0,0,0,0,33
0,48,5.88,-0.541070580482483,-0.000121930992463604,0,0,0,0,0,33
0,49,6,-0.540042638778687,-0.000131411128677428,0,0,0,0,0,33
0,50,6.12,-0.540721476078033,-0.000161858813953586,0,0,0,0,0,33
0,51,6.24,-0.536609768867493,-0.000106366773252375,0,0,0,0,0,33
0,52,6.36,-0.537307977676392,-0.000138848961796612,0,0,0,0,0,33
0,53,6.48,-0.534069061279297,-9.67660453170538E-05,0,0,0,0,0,33
0,54,6.6,-0.532536923885345,-9.48287852224894E-05,0,0,0,0,0,33
0,55,6.72,-0.532110214233398,-0.000113011032226495,0,0,0,0,0,33
0,56,6.84,-0.530578017234802,-0.000104849641502369,0,0,0,0,0,33
0,57,6.96,-0.531043529510498,-0.000128201805637218,0,0,0,0,0,33
0,58,7.08,-0.528483390808105,-0.000106448467704467,0,0,0,0,0,33
0,59,7.2,-0.527242124080658,-9.68555177678354E-05,0,0,0,0,0,33
0,60,7.32,-0.527533054351807,-0.000124428421258926,0,0,0,0,0,33
0,61,7.44,-0.52452689409256,-9.6256444521714E-05,0,0,0,0,0,33
0,62,7.56,-0.522296488285065,-7.93229191913269E-05,0,0,0,0,0,33
0,63,7.68,-0.523906230926514,-0.000120756187243387,0,0,0,0,0,33
0,64,7.8,-0.521307349205017,-9.72717607510276E-05,0,0,0,0,0,33
0,65,7.92,-0.519270896911621,-8.51035802043043E-05,0,0,0,0,0,33
0,66,8.04,-0.51996910572052,-0.000117325136670843,0,0,0,0,0,33
0,67,8.16,-0.516768991947174,-8.48040435812436E-05,0,0,0,0,0,33
0,68,8.28,-0.515721678733826,-8.12096041045152E-05,0,0,0,0,0,33
0,69,8.4,-0.515023469924927,-9.42880651564337E-05,0,0,0,0,0,33
0,70,8.52,-0.515566527843475,-0.000119297408673447,0,0,0,0,0,33
0,71,8.64,-0.513627052307129,-0.000110673092422076,0,0,0,0,0,33
0,72,8.76,-0.51292884349823,-0.000114321992441546,0,0,0,0,0,33
0,73,8.88,-0.51100879907608,-0.000101613091828767,0,0,0,0,0,33
0,74,9,-0.509515404701233,-9.69372122199275E-05,0,0,0,0,0,33
0,75,9.12,-0.509127497673035,-0.000108035615994595,0,0,0,0,0,33
0,76,9.24,-0.506877720355988,-8.37692787172273E-05,0,0,0,0,0,33
0,77,9.36,-0.50513219833374,-7.95524319983087E-05,0,0,0,0,0,33
0,78,9.48,-0.503289699554443,-6.69096625642851E-05,0,0,0,0,0,33
0,79,9.6,-0.503600001335144,-8.93868782441132E-05,0,0,0,0,0,33
0,80,9.72,-0.502358734607697,-9.28438530536368E-05,0,0,0,0,0,33
0,81,9.84,-0.501311421394348,-9.16696371859871E-05,0,0,0,0,0,33
0,82,9.96,-0.499759823083878,-8.97334684850648E-05,0,0,0,0,0,33
0,83,10.08,-0.498809486627579,-9.00812228792347E-05,0,0,0,0,0,33
0,84,10.2,-0.497548848390579,-9.03431136975996E-05,0,0,0,0,0,33
0,85,10.32,-0.496501535177231,-9.14866323000751E-05,0,0,0,0,0,33
0,86,10.44,-0.495454221963882,-9.0438305051066E-05,0,0,0,0,0,33
0,87,10.56,-0.493980199098587,-8.91673407750204E-05,0,0,0,0,0,33
0,88,10.68,-0.493107438087463,-8.94548720680177E-05,0,0,0,0,0,33
0,89,10.8,-0.491420120000839,-8.72202872415073E-05,0,0,0,0,0,33
0,90,10.92,-0.490586131811142,-8.68577626533806E-05,0,0,0,0,0,33
0,91,11.04,-0.48866605758667,-8.25801544124261E-05,0,0,0,0,0,33
0,92,11.16,-0.488045424222946,-8.50758515298367E-05,0,0,0,0,0,33
0,93,11.28,-0.486765384674072,-8.42008230392821E-05,0,0,0,0,0,33
0,94,11.4,-0.485368967056274,-8.30250501167029E-05,0,0,0,0,0,33
0,95,11.52,-0.484399229288101,-8.35468817967922E-05,0,0,0,0,0,33
0,96,11.64,-0.483080387115479,-8.49771531648003E-05,0,0,0,0,0,33
0,97,11.76,-0.481800317764282,-8.41483633848839E-05,0,0,0,0,0,33
0,98,11.88,-0.480675429105759,-8.42486115288921E-05,0,0,0,0,0,33
