Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.69983571767807,-0.00124821730423719,0,0,0,0,0,3
0,1,2,-0.69892418384552,-0.0010028830729425,0,0,0,0,0,3
0,2,3,-0.699467241764069,-0.000930430309381336,0,0,0,0,0,3
0,3,4,-0.69816780090332,-0.000855643418617547,0,0,0,0,0,3
0,4,5,-0.69882720708847,-0.000830956967547536,0,0,0,0,0,3
0,5,6,-0.698943555355072,-0.000809032469987869,0,0,0,0,0,3
0,6,7,-0.701115787029266,-0.000842829525936395,0,0,0,0,0,3
0,7,8,-0.699893891811371,-0.000805274641606957,0,0,0,0,0,3
0,8,9,-0.700475752353668,-0.000809526478406042,0,0,0,0,0,3
0,9,10,-0.699467241764069,-0.000780016358476132,0,0,0,0,0,3
0,10,11,-0.700204193592072,-0.000790313410107046,0,0,0,0,0,3
0,11,12,-0.700902462005615,-0.000795218802522868,0,0,0,0,0,3
0,12,13,-0.698846578598022,-0.00074916408630088,0,0,0,0,0,3
0,13,14,-0.700689077377319,-0.000780883827246726,0,0,0,0,0,3
0,14,15,-0.700165450572968,-0.000766218232456595,0,0,0,0,0,3
0,15,16,-0.699040532112122,-0.000749591970816255,0,0,0,0,0,3
0,16,17,-0.700630903244019,-0.00077533267904073,0,0,0,0,0,3
0,17,18,-0.701212763786316,-0.000783696363214403,0,0,0,0,0,3
0,18,19,-0.698904752731323,-0.000738909817300737,0,0,0,0,0,3
0,19,20,-0.699971497058868,-0.000749514205381274,0,0,0,0,0,3
0,20,21,-0.701697587966919,-0.000786372751463205,0,0,0,0,0,3
0,21,22,-0.699758172035217,-0.000741893541999161,0,0,0,0,0,3
0,22,23,-0.700669705867767,-0.000766085926443338,0,0,0,0,0,3
0,23,24,-0.699777543544769,-0.000737614405807108,0,0,0,0,0,3
0,24,25,-0.699816346168518,-0.000743196695111692,0,0,0,0,0,3
0,25,26,-0.700398147106171,-0.000748798425775021,0,0,0,0,0,3
0,26,27,-0.700456380844116,-0.000747475773096085,0,0,0,0,0,3
0,27,28,-0.699855089187622,-0.000737633905373514,0,0,0,0,0,3
0,28,29,-0.699855089187622,-0.000735556590370834,0,0,0,0,0,3
0,29,30,-0.699273288249969,-0.000721980177331716,0,0,0,0,0,3
0,30,31,-0.701154589653015,-0.000749024038668722,0,0,0,0,0,3
0,31,32,-0.698866009712219,-0.000708092586137354,0,0,0,0,0,3
0,32,33,-0.701910972595215,-0.000766078184824437,0,0,0,0,0,3
0,33,34,-0.699699938297272,-0.000719035393558443,0,0,0,0,0,3
0,34,35,-0.697042882442474,-0.000671436311677098,0,0,0,0,0,3
0,35,36,-0.700630903244019,-0.000728573882952333,0,0,0,0,0,3
