Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.749757707118988,-0.001659961999394,0,0,0,0,0,3
0,1,2,-0.750009834766388,-0.00157387240324169,0,0,0,0,0,3
0,2,3,-0.751503229141235,-0.00154988083522767,0,0,0,0,0,3
0,3,4,-0.751328706741333,-0.00150146998930722,0,0,0,0,0,3
0,4,5,-0.749428033828735,-0.00143684446811676,0,0,0,0,0,3
0,5,6,-0.747100651264191,-0.00137214118149132,0,0,0,0,0,3
0,6,7,-0.749486207962036,-0.00140593154355884,0,0,0,0,0,3
0,7,8,-0.749331057071686,-0.00138540065381676,0,0,0,0,0,3
0,8,9,-0.750727474689484,-0.00140915892552584,0,0,0,0,0,3
0,9,10,-0.749098300933838,-0.00136144808493555,0,0,0,0,0,3
0,10,11,-0.749505579471588,-0.00135857064742595,0,0,0,0,0,3
0,11,12,-0.750591695308685,-0.00136160361580551,0,0,0,0,0,3
0,12,13,-0.749990463256836,-0.0013481107307598,0,0,0,0,0,3
0,13,14,-0.750649869441986,-0.00134663318749517,0,0,0,0,0,3
0,14,15,-0.747624278068542,-0.00129639473743737,0,0,0,0,0,3
0,15,16,-0.750960171222687,-0.0013379231095314,0,0,0,0,0,3
0,16,17,-0.749544382095337,-0.00129553931765258,0,0,0,0,0,3
0,17,18,-0.751212298870087,-0.00130631029605865,0,0,0,0,0,3
0,18,19,-0.749253451824188,-0.00127535848878324,0,0,0,0,0,3
0,19,20,-0.750591695308685,-0.00127189781051129,0,0,0,0,0,3
0,20,21,-0.750126242637634,-0.00124102365225554,0,0,0,0,0,3
0,21,22,-0.750048637390137,-0.00123029167298228,0,0,0,0,0,3
0,22,23,-0.751716613769531,-0.00123810744844377,0,0,0,0,0,3
0,23,24,-0.750339567661285,-0.00124417326878756,0,0,0,0,0,3
0,24,25,-0.747643709182739,-0.00121353263966739,0,0,0,0,0,3
0,25,26,-0.749253451824188,-0.00121780985500664,0,0,0,0,0,3
0,26,27,-0.749544382095337,-0.00120210065506399,0,0,0,0,0,3
0,27,28,-0.749932289123535,-0.00120361137669533,0,0,0,0,0,3
0,28,29,-0.750087440013886,-0.00120721361599863,0,0,0,0,0,3
0,29,30,-0.751289904117584,-0.00121851428411901,0,0,0,0,0,3
0,30,31,-0.751367509365082,-0.00120852841064334,0,0,0,0,0,3
0,31,32,-0.748884975910187,-0.00118104496505111,0,0,0,0,0,3
0,32,33,-0.748380720615387,-0.00115594232920557,0,0,0,0,0,3
0,33,34,-0.751697182655334,-0.00119301094673574,0,0,0,0,0,3
0,34,35,-0.753966391086578,-0.00120942702051252,0,0,0,0,0,3
0,35,36,-0.747934639453888,-0.00110190128907561,0,0,0,0,0,3
0,36,37,-0.751445055007935,-0.00114450545515865,0,0,0,0,0,3
0,37,38,-0.751852333545685,-0.00123630359303206,0,0,0,0,0,3
0,38,39,-0.748186767101288,-0.00117817020509392,0,0,0,0,0,3
0,39,40,-0.750417113304138,-0.00119487033225596,0,0,0,0,0,3
0,40,41,-0.747663080692291,-0.00113246950786561,0,0,0,0,0,3
0,41,42,-0.74886554479599,-0.00113732821773738,0,0,0,0,0,3
0,42,43,-0.751348078250885,-0.00115840474609286,0,0,0,0,0,3
0,43,44,-0.753714263439178,-0.00118108780588955,0,0,0,0,0,3
0,44,45,-0.74845826625824,-0.00109362707007676,0,0,0,0,0,3
0,45,46,-0.751561403274536,-0.0011205697664991,0,0,0,0,0,3
0,46,47,-0.750611066818237,-0.00109831464942545,0,0,0,0,0,3
0,47,48,-0.746072709560394,-0.00102361722383648,0,0,0,0,0,3
0,48,49,-0.751445055007935,-0.00107911706436425,0,0,0,0,0,3
0,49,50,-0.750009834766388,-0.00104911671951413,0,0,0,0,0,3
0,50,51,-0.749602556228638,-0.0010583478724584,0,0,0,0,0,3
0,51,52,-0.751270532608032,-0.00109964108560234,0,0,0,0,0,3
0,52,53,-0.751309275627136,-0.00108604528941214,0,0,0,0,0,3
0,53,54,-0.751677811145782,-0.00108294875826687,0,0,0,0,0,3
0,54,55,-0.749428033828735,-0.0010346689959988,0,0,0,0,0,3
0,55,56,-0.747915208339691,-0.00106966029852629,0,0,0,0,0,3
0,56,57,-0.747992813587189,-0.00105814170092344,0,0,0,0,0,3
0,57,58,-0.74795401096344,-0.00103776936884969,0,0,0,0,0,3
0,58,59,-0.747391581535339,-0.00102609524037689,0,0,0,0,0,3
0,59,60,-0.750397741794586,-0.00104519550222903,0,0,0,0,0,3
0,60,61,-0.747100651264191,-0.00101162795908749,0,0,0,0,0,3
0,61,62,-0.749563753604889,-0.00104903499595821,0,0,0,0,0,3
0,62,63,-0.748303115367889,-0.00102780293673277,0,0,0,0,0,3
0,63,64,-0.750397741794586,-0.00106681266333908,0,0,0,0,0,3
0,64,65,-0.749389231204987,-0.00105829339008778,0,0,0,0,0,3
0,65,66,-0.748244941234589,-0.00103409320581704,0,0,0,0,0,3
0,66,67,-0.748186767101288,-0.00101354194339365,0,0,0,0,0,3
0,67,68,-0.749874114990234,-0.00104107207152992,0,0,0,0,0,3
0,68,69,-0.750261962413788,-0.00103468843735754,0,0,0,0,0,3
0,69,70,-0.747352778911591,-0.000992593821138144,0,0,0,0,0,3
0,70,71,-0.750203788280487,-0.000999584328383207,0,0,0,0,0,3
0,71,72,-0.756177365779877,-0.00109690253157169,0,0,0,0,0,3
0,72,73,-0.751794159412384,-0.00105977558996528,0,0,0,0,0,3
0,73,74,-0.750358939170837,-0.00103554420638829,0,0,0,0,0,3
0,74,75,-0.752123892307281,-0.00106511276680976,0,0,0,0,0,3
0,75,76,-0.752065718173981,-0.00104037567507476,0,0,0,0,0,3
0,76,77,-0.752046287059784,-0.00102556613273919,0,0,0,0,0,3
0,77,78,-0.746557593345642,-0.000960897421464324,0,0,0,0,0,3
0,78,79,-0.752725124359131,-0.00100799079518765,0,0,0,0,0,3
0,79,80,-0.747934639453888,-0.000950331974308938,0,0,0,0,0,3
0,80,81,-0.749350428581238,-0.000958462245762348,0,0,0,0,0,3
0,81,82,-0.750766217708588,-0.000988929299637675,0,0,0,0,0,3
0,82,83,-0.750727474689484,-0.000976263254415244,0,0,0,0,0,3
0,83,84,-0.751542031764984,-0.000972061941865832,0,0,0,0,0,3
0,84,85,-0.747430384159088,-0.000963830563705415,0,0,0,0,0,3
0,85,86,-0.748923778533936,-0.000992508255876601,0,0,0,0,0,3
0,86,87,-0.750901997089386,-0.00100155267864466,0,0,0,0,0,3
0,87,88,-0.750106811523438,-0.000999619252979755,0,0,0,0,0,3
0,88,89,-0.750261962413788,-0.00101666559930891,0,0,0,0,0,3
0,89,90,-0.748981952667236,-0.00098586396779865,0,0,0,0,0,3
0,90,91,-0.749505579471588,-0.000976975075900555,0,0,0,0,0,3
0,91,92,-0.749311625957489,-0.000969992426689714,0,0,0,0,0,3
