Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.113524,0.134369790554047,-3.24370262205775E-06,0,0,0,0,0,38
0,1,0.227048,0.133477628231049,-4.24860536440974E-06,0,0,0,0,0,38
0,2,0.340572,0.132488504052162,-5.71847613173304E-06,0,0,0,0,0,38
0,3,0.454096,0.131266638636589,-7.5087909863214E-06,0,0,0,0,0,38
0,4,0.56762,0.130141749978065,-9.49517652770737E-06,0,0,0,0,0,38
0,5,0.681144,0.128803506493568,-1.03317852335749E-05,0,0,0,0,0,38
0,6,0.794668,0.127872556447983,-1.24686866911361E-05,0,0,0,0,0,38
0,7,0.908192,0.12665069103241,-1.46132124427822E-05,0,0,0,0,0,38
0,8,1.021716,0.125564590096474,-1.61676198331406E-05,0,0,0,0,0,38
0,9,1.13524,0.123935431241989,-1.819257340685E-05,0,0,0,0,0,38
0,10,1.248764,0.123411774635315,-1.89366583072115E-05,0,0,0,0,0,38
0,11,1.362288,0.121685646474361,-2.48551386903273E-05,0,0,0,0,0,38
0,12,1.475812,0.120735302567482,-2.75761958619114E-05,0,0,0,0,0,38
0,13,1.589336,0.12017285823822,-2.36195319303079E-05,0,0,0,0,0,38
0,14,1.70286,0.11891220510006,-2.4863687940524E-05,0,0,0,0,0,38
0,15,1.816384,0.117069706320763,-3.22027299262118E-05,0,0,0,0,0,38
0,16,1.929908,0.116138756275177,-3.44314867106732E-05,0,0,0,0,0,38
0,17,2.043432,0.115110836923122,-3.42523599101696E-05,0,0,0,0,0,38
0,18,2.156956,0.114179894328117,-3.4953704016516E-05,0,0,0,0,0,38
0,19,2.27048,0.113035604357719,-3.68887122021988E-05,0,0,0,0,0,38
0,20,2.384004,0.111813738942146,-4.02310688514262E-05,0,0,0,0,0,38
0,21,2.497528,0.110203973948956,-4.44748766312841E-05,0,0,0,0,0,38
0,22,2.611052,0.109680317342281,-4.52943386335392E-05,0,0,0,0,0,38
0,23,2.724576,0.108361475169659,-4.65621960756835E-05,0,0,0,0,0,38
0,24,2.8381,0.107197791337967,-5.19887689733878E-05,0,0,0,0,0,38
0,25,2.951624,0.105917744338512,-5.21107758686412E-05,0,0,0,0,0,38
0,26,3.065148,0.10510316491127,-5.3050691349199E-05,0,0,0,0,0,38
0,27,3.178672,0.103881299495697,-5.65360351174604E-05,0,0,0,0,0,38
0,28,3.292196,0.10264003276825,-5.91848220210522E-05,0,0,0,0,0,38
0,29,3.40572,0.101825460791588,-6.10219140071422E-05,0,0,0,0,0,38
0,30,3.519244,0.10068117082119,-5.84166482440196E-05,0,0,0,0,0,38
0,31,3.632768,0.0992071703076363,-6.44077881588601E-05,0,0,0,0,0,38
