Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.135,-0.745529651641846,-0.00128465180750936,0,0,0,0,0,33
0,1,0.27,-0.747585535049438,-0.00111740326974541,0,0,0,0,0,33
0,2,0.405,-0.744986593723297,-0.00103191088419408,0,0,0,0,0,33
0,3,0.54,-0.742271363735199,-0.000977609190158546,0,0,0,0,0,33
0,4,0.675,-0.743027746677399,-0.000966938736382872,0,0,0,0,0,33
0,5,0.81,-0.744152665138245,-0.000966981519013643,0,0,0,0,0,33
0,6,0.945,-0.740351259708405,-0.000923828803934157,0,0,0,0,0,33
0,7,1.08,-0.742969572544098,-0.000938949582632631,0,0,0,0,0,33
0,8,1.215,-0.733834683895111,-0.000857355073094368,0,0,0,0,0,33
0,9,1.35,-0.735909879207611,-0.000874977151397616,0,0,0,0,0,33
0,10,1.485,-0.736006855964661,-0.000873852928634733,0,0,0,0,0,33
0,11,1.62,-0.732903718948364,-0.000847758259624243,0,0,0,0,0,33
0,12,1.755,-0.73462986946106,-0.000860307656694204,0,0,0,0,0,33
0,13,1.89,-0.732942521572113,-0.000842183770146221,0,0,0,0,0,33
0,14,2.025,-0.728248953819275,-0.000808655109722167,0,0,0,0,0,33
0,15,2.16,-0.727802932262421,-0.000801680202130228,0,0,0,0,0,33
0,16,2.295,-0.725785851478577,-0.000787450291682035,0,0,0,0,0,33
0,17,2.43,-0.723070621490479,-0.000765405187848955,0,0,0,0,0,33
0,18,2.565,-0.724234282970428,-0.000779335561674088,0,0,0,0,0,33
0,19,2.7,-0.721169888973236,-0.000751116895116866,0,0,0,0,0,33
0,20,2.835,-0.720161378383636,-0.000746534380596131,0,0,0,0,0,33
0,21,2.97,-0.719288647174835,-0.000738240720238537,0,0,0,0,0,33
0,22,3.105,-0.720491111278534,-0.000751992163714021,0,0,0,0,0,33
0,23,3.24,-0.716922461986542,-0.000721949094440788,0,0,0,0,0,33
0,24,3.375,-0.714711487293243,-0.000703513971529901,0,0,0,0,0,33
0,25,3.51,-0.714187800884247,-0.000704054662492126,0,0,0,0,0,33
0,26,3.645,-0.712519884109497,-0.000692551722750068,0,0,0,0,0,33
0,27,3.78,-0.711414396762848,-0.000685853010509163,0,0,0,0,0,33
0,28,3.915,-0.710657954216003,-0.000680165714584291,0,0,0,0,0,33
0,29,4.05,-0.711666524410248,-0.000690684479195625,0,0,0,0,0,33
0,30,4.185,-0.708757281303406,-0.000670658308081329,0,0,0,0,0,33
0,31,4.32,-0.704277098178864,-0.000632613315246999,0,0,0,0,0,33
0,32,4.455,-0.70008784532547,-0.000604122353252023,0,0,0,0,0,33
0,33,4.59,-0.700960636138916,-0.000615263532381505,0,0,0,0,0,33
0,34,4.725,-0.705518364906311,-0.000656323391012847,0,0,0,0,0,33
0,35,4.86,-0.701464891433716,-0.000625696731731296,0,0,0,0,0,33
0,36,4.995,-0.697430789470673,-0.000597925449255854,0,0,0,0,0,33
0,37,5.13,-0.69512277841568,-0.000579552608542144,0,0,0,0,0,33
0,38,5.265,-0.695627093315125,-0.000581093074288219,0,0,0,0,0,33
0,39,5.4,-0.695064604282379,-0.000583749962970614,0,0,0,0,0,33
0,40,5.535,-0.693183362483978,-0.00059093110030517,0,0,0,0,0,33
0,41,5.67,-0.693648815155029,-0.00059297337429598,0,0,0,0,0,33
0,42,5.805,-0.692349374294281,-0.000586900918278843,0,0,0,0,0,33
0,43,5.94,-0.690487444400787,-0.000575024518184364,0,0,0,0,0,33
0,44,6.075,-0.691108107566834,-0.000585765053983778,0,0,0,0,0,33
0,45,6.21,-0.686375796794891,-0.000547509989701211,0,0,0,0,0,33
0,46,6.345,-0.683582961559296,-0.000531852361746132,0,0,0,0,0,33
0,47,6.48,-0.684455692768097,-0.000542238878551871,0,0,0,0,0,33
0,48,6.615,-0.682225346565247,-0.000529864570125937,0,0,0,0,0,33
0,49,6.75,-0.677667558193207,-0.000499109562952071,0,0,0,0,0,33
0,50,6.885,-0.679917335510254,-0.000515945837832987,0,0,0,0,0,33
0,51,7.02,-0.681430160999298,-0.000533933576662093,0,0,0,0,0,33
0,52,7.155,-0.6800337433815,-0.000526911986526102,0,0,0,0,0,33
0,53,7.29,-0.677706360816956,-0.000513452279847115,0,0,0,0,0,33
0,54,7.425,-0.675514757633209,-0.000496367050800473,0,0,0,0,0,33
0,55,7.56,-0.673730432987213,-0.00048871134640649,0,0,0,0,0,33
0,56,7.695,-0.673342525959015,-0.000490500824525952,0,0,0,0,0,33
0,57,7.83,-0.672508597373962,-0.000489403784740716,0,0,0,0,0,33
0,58,7.965,-0.66954118013382,-0.000471408275188878,0,0,0,0,0,33
0,59,8.1,-0.670084238052368,-0.000481320195831358,0,0,0,0,0,33
0,60,8.235,-0.665972530841827,-0.000449565442977473,0,0,0,0,0,33
0,61,8.37,-0.669133901596069,-0.000479219568660483,0,0,0,0,0,33
0,62,8.505,-0.668804168701172,-0.000483595911646262,0,0,0,0,0,33
0,63,8.64,-0.664905846118927,-0.00045608522486873,0,0,0,0,0,33
0,64,8.775,-0.661453604698181,-0.000431838358053938,0,0,0,0,0,33
0,65,8.91,-0.661395370960236,-0.000438782153651118,0,0,0,0,0,33
0,66,9.045,-0.660929918289185,-0.000442890072008595,0,0,0,0,0,33
0,67,9.18,-0.663082718849182,-0.000462278258055449,0,0,0,0,0,33
0,68,9.315,-0.654238760471344,-0.000395893992390484,0,0,0,0,0,33
0,69,9.45,-0.653540551662445,-0.000400145829189569,0,0,0,0,0,33
0,70,9.585,-0.654975771903992,-0.000412983121350408,0,0,0,0,0,33
0,71,9.72,-0.651251971721649,-0.000390194996725768,0,0,0,0,0,33
0,72,9.855,-0.648168206214905,-0.00037268185405992,0,0,0,0,0,33
0,73,9.99,-0.651387751102448,-0.000402289268095046,0,0,0,0,0,33
0,74,10.125,-0.648497939109802,-0.000384694430977106,0,0,0,0,0,33
0,75,10.26,-0.647120893001556,-0.000380006880732253,0,0,0,0,0,33
0,76,10.395,-0.642291605472565,-0.0003452917735558,0,0,0,0,0,33
0,77,10.53,-0.642446756362915,-0.000355009222403169,0,0,0,0,0,33
