Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.13,-0.699525415897369,-0.00129888334777206,0,0,0,0,0,33
0,1,0.26,-0.695491313934326,-0.000975699163973331,0,0,0,0,0,33
0,2,0.39,-0.697721719741821,-0.000925890577491373,0,0,0,0,0,33
0,3,0.52,-0.694153070449829,-0.000846303359139711,0,0,0,0,0,33
0,4,0.65,-0.693687617778778,-0.000812051177490503,0,0,0,0,0,33
0,5,0.78,-0.694831907749176,-0.000809328106697649,0,0,0,0,0,33
0,6,0.91,-0.690506875514984,-0.000742418691515923,0,0,0,0,0,33
0,7,1.04,-0.687849760055542,-0.000696737435646355,0,0,0,0,0,33
0,8,1.17,-0.687384307384491,-0.000687444058712572,0,0,0,0,0,33
0,9,1.3,-0.688276469707489,-0.000707563536707312,0,0,0,0,0,33
0,10,1.43,-0.684184193611145,-0.000646532047539949,0,0,0,0,0,33
0,11,1.56,-0.680770695209503,-0.000598259968683124,0,0,0,0,0,33
0,12,1.69,-0.681759834289551,-0.000622759747784585,0,0,0,0,0,33
0,13,1.82,-0.683408379554749,-0.000648002489469945,0,0,0,0,0,33
0,14,1.95,-0.678695499897003,-0.000593587988987565,0,0,0,0,0,33
0,15,2.08,-0.682070136070251,-0.0006393704097718,0,0,0,0,0,33
0,16,2.21,-0.677725732326508,-0.00059074821183458,0,0,0,0,0,33
0,17,2.34,-0.676542699337006,-0.000581377011258155,0,0,0,0,0,33
0,18,2.47,-0.676562070846558,-0.000589071598369628,0,0,0,0,0,33
0,19,2.6,-0.67020058631897,-0.000516101426910609,0,0,0,0,0,33
0,20,2.73,-0.673633456230164,-0.000560899614356458,0,0,0,0,0,33
0,21,2.86,-0.670743644237518,-0.000534373160917312,0,0,0,0,0,33
0,22,2.99,-0.670316994190216,-0.000537831452675164,0,0,0,0,0,33
0,23,3.12,-0.665468275547028,-0.000481934839626774,0,0,0,0,0,33
0,24,3.25,-0.663024544715881,-0.00045475093065761,0,0,0,0,0,33
0,25,3.38,-0.667795658111572,-0.000529257697053254,0,0,0,0,0,33
