Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,0.147907301783562,1.4585477856599E-06,0,0,0,0,0,41
0,1,2,0.147926703095436,1.4585477856599E-06,0,0,0,0,0,41
0,2,3,0.147965490818024,1.46243780818622E-06,0,0,0,0,0,41
0,3,4,0.147984877228737,1.47410810313886E-06,0,0,0,0,0,41
0,4,5,0.148004278540611,1.45465764944674E-06,0,0,0,0,0,41
0,5,6,0.148043066263199,1.46632794439938E-06,0,0,0,0,0,41
0,6,7,0.148062467575073,1.46243780818622E-06,0,0,0,0,0,41
0,7,8,0.148081853985786,1.46632794439938E-06,0,0,0,0,0,41
0,8,9,0.148101255297661,1.45465764944674E-06,0,0,0,0,0,41
0,9,10,0.148140043020248,1.46243780818622E-06,0,0,0,0,0,41
0,10,11,0.148159429430962,1.45465764944674E-06,0,0,0,0,0,41
0,11,12,0.148178830742836,1.45076762692042E-06,0,0,0,0,0,41
0,12,13,0.148198217153549,1.4702179669257E-06,0,0,0,0,0,41
0,13,14,0.148217618465424,1.4702179669257E-06,0,0,0,0,0,41
0,14,15,0.148237019777298,1.43909733196779E-06,0,0,0,0,0,41
0,15,16,0.148256406188011,1.4585477856599E-06,0,0,0,0,0,41
0,16,17,0.148275807499886,1.45465764944674E-06,0,0,0,0,0,41
0,17,18,0.148295193910599,1.44687749070727E-06,0,0,0,0,0,41
0,18,19,0.148314595222473,1.44298735449411E-06,0,0,0,0,0,41
0,19,20,0.148333981633186,1.4585477856599E-06,0,0,0,0,0,41
0,20,21,0.148333981633186,1.47410810313886E-06,0,0,0,0,0,41
0,21,22,0.148353382945061,1.4702179669257E-06,0,0,0,0,0,41
0,22,23,0.148372769355774,1.4702179669257E-06,0,0,0,0,0,41
0,23,24,0.148392170667648,1.47410810313886E-06,0,0,0,0,0,41
0,24,25,0.148411571979523,1.47410810313886E-06,0,0,0,0,0,41
0,25,26,0.148411571979523,1.47799812566518E-06,0,0,0,0,0,41
0,26,27,0.148430958390236,1.47799812566518E-06,0,0,0,0,0,41
0,27,28,0.14845035970211,1.47799812566518E-06,0,0,0,0,0,41
0,28,29,0.148469746112823,1.48188826187834E-06,0,0,0,0,0,41
0,29,30,0.148469746112823,1.48188826187834E-06,0,0,0,0,0,41
0,30,31,0.148489147424698,1.47799812566518E-06,0,0,0,0,0,41
0,31,32,0.148508533835411,1.47799812566518E-06,0,0,0,0,0,41
0,32,33,0.148527935147285,1.47799812566518E-06,0,0,0,0,0,41
0,33,34,0.148527935147285,1.48188826187834E-06,0,0,0,0,0,41
0,34,35,0.148547321557999,1.48188826187834E-06,0,0,0,0,0,41
0,35,36,0.148547321557999,1.48188826187834E-06,0,0,0,0,0,41
0,36,37,0.148566722869873,1.48188826187834E-06,0,0,0,0,0,41
0,37,38,0.148586124181747,1.48188826187834E-06,0,0,0,0,0,41
0,38,39,0.148586124181747,1.4702179669257E-06,0,0,0,0,0,41
0,39,40,0.148605510592461,1.48188826187834E-06,0,0,0,0,0,41
0,40,41,0.148624911904335,1.47799812566518E-06,0,0,0,0,0,41
0,41,42,0.148624911904335,1.47799812566518E-06,0,0,0,0,0,41
0,42,43,0.148644298315048,1.47799812566518E-06,0,0,0,0,0,41
0,43,44,0.148663699626923,1.4585477856599E-06,0,0,0,0,0,41
0,44,45,0.148663699626923,1.47799812566518E-06,0,0,0,0,0,41
0,45,46,0.148683086037636,1.47799812566518E-06,0,0,0,0,0,41
0,46,47,0.148683086037636,1.47799812566518E-06,0,0,0,0,0,41
0,47,48,0.14870248734951,1.47799812566518E-06,0,0,0,0,0,41
0,48,49,0.148721873760223,1.47799812566518E-06,0,0,0,0,0,41
0,49,50,0.148721873760223,1.47799812566518E-06,0,0,0,0,0,41
0,50,51,0.148741275072098,1.47799812566518E-06,0,0,0,0,0,41
0,51,52,0.148741275072098,1.47799812566518E-06,0,0,0,0,0,41
0,52,53,0.148760676383972,1.47799812566518E-06,0,0,0,0,0,41
0,53,54,0.148760676383972,1.47799812566518E-06,0,0,0,0,0,41
0,54,55,0.148780062794685,1.47799812566518E-06,0,0,0,0,0,41
0,55,56,0.148780062794685,1.47799812566518E-06,0,0,0,0,0,41
0,56,57,0.14879946410656,1.47799812566518E-06,0,0,0,0,0,41
0,57,58,0.14879946410656,1.48188826187834E-06,0,0,0,0,0,41
0,58,59,0.148818850517273,1.48188826187834E-06,0,0,0,0,0,41
0,59,60,0.148838251829147,1.47799812566518E-06,0,0,0,0,0,41
0,60,61,0.148838251829147,1.47799812566518E-06,0,0,0,0,0,41
0,61,62,0.148857638239861,1.48188826187834E-06,0,0,0,0,0,41
0,62,63,0.148857638239861,1.48188826187834E-06,0,0,0,0,0,41
0,63,64,0.148877039551735,1.46243780818622E-06,0,0,0,0,0,41
0,64,65,0.148877039551735,1.45465764944674E-06,0,0,0,0,0,41
0,65,66,0.148896425962448,1.45076762692042E-06,0,0,0,0,0,41
0,66,67,0.148896425962448,1.48577828440466E-06,0,0,0,0,0,41
0,67,68,0.148915827274323,1.48577828440466E-06,0,0,0,0,0,41
0,68,69,0.148915827274323,1.48966842061782E-06,0,0,0,0,0,41
0,69,70,0.148935228586197,1.48966842061782E-06,0,0,0,0,0,41
0,70,71,0.148935228586197,1.48577828440466E-06,0,0,0,0,0,41
0,71,72,0.14895461499691,1.48577828440466E-06,0,0,0,0,0,41
0,72,73,0.14895461499691,1.48577828440466E-06,0,0,0,0,0,41
0,73,74,0.148974016308784,1.48577828440466E-06,0,0,0,0,0,41
0,74,75,0.148974016308784,1.48966842061782E-06,0,0,0,0,0,41
0,75,76,0.148974016308784,1.48966842061782E-06,0,0,0,0,0,41
0,76,77,0.148993402719498,1.48966842061782E-06,0,0,0,0,0,41
0,77,78,0.148993402719498,1.48966842061782E-06,0,0,0,0,0,41
0,78,79,0.149012804031372,1.48966842061782E-06,0,0,0,0,0,41
0,79,80,0.149012804031372,1.48966842061782E-06,0,0,0,0,0,41
0,80,81,0.149032190442085,1.48966842061782E-06,0,0,0,0,0,41
0,81,82,0.149032190442085,1.48966842061782E-06,0,0,0,0,0,41
0,82,83,0.14905159175396,1.48966842061782E-06,0,0,0,0,0,41
0,83,84,0.14905159175396,1.48966842061782E-06,0,0,0,0,0,41
0,84,85,0.149070978164673,1.48966842061782E-06,0,0,0,0,0,41
0,85,86,0.149070978164673,1.48966842061782E-06,0,0,0,0,0,41
0,86,87,0.149090379476547,1.48966842061782E-06,0,0,0,0,0,41
0,87,88,0.149090379476547,1.48966842061782E-06,0,0,0,0,0,41
