Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1,-0.698904752731323,-0.00859328545629978,0,0,0,0,0,3
0,1,2,-0.697876870632172,-0.00863372441381216,0,0,0,0,0,3
0,2,3,-0.696305871009827,-0.0083562470972538,0,0,0,0,0,3
0,3,4,-0.699874520301819,-0.00811073277145624,0,0,0,0,0,3
0,4,5,-0.702958285808563,-0.00781735125929117,0,0,0,0,0,3
0,5,6,-0.700107276439667,-0.00737543217837811,0,0,0,0,0,3
0,6,7,-0.700107276439667,-0.00701602594926953,0,0,0,0,0,3
0,7,8,-0.704121947288513,-0.00677439942955971,0,0,0,0,0,3
0,8,9,-0.700689077377319,-0.00636253785341978,0,0,0,0,0,3
0,9,10,-0.70033997297287,-0.00606188550591469,0,0,0,0,0,3
0,10,11,-0.697896242141724,-0.00575882196426392,0,0,0,0,0,3
0,11,12,-0.700204193592072,-0.00557408342137933,0,0,0,0,0,3
0,12,13,-0.699118137359619,-0.00531083717942238,0,0,0,0,0,3
0,13,14,-0.697275638580322,-0.00505805108696222,0,0,0,0,0,3
0,14,15,-0.699215114116669,-0.00492051802575588,0,0,0,0,0,3
0,15,16,-0.701794564723969,-0.00481055350974202,0,0,0,0,0,3
0,16,17,-0.699661195278168,-0.00460085086524487,0,0,0,0,0,3
0,17,18,-0.70059210062027,-0.00447474932298064,0,0,0,0,0,3
0,18,19,-0.699622392654419,-0.00431999051943421,0,0,0,0,0,3
0,19,20,-0.699525415897369,-0.00419019488617778,0,0,0,0,0,3
0,20,21,-0.701290309429169,-0.00412090355530381,0,0,0,0,0,3
0,21,22,-0.698691427707672,-0.00395121285691857,0,0,0,0,0,3
0,22,23,-0.699699938297272,-0.00387258897535503,0,0,0,0,0,3
0,23,24,-0.70024299621582,-0.00379785359837115,0,0,0,0,0,3
0,24,25,-0.698012590408325,-0.00365779269486666,0,0,0,0,0,3
0,25,26,-0.701173961162567,-0.00366148678585887,0,0,0,0,0,3
0,26,27,-0.700689077377319,-0.00357329729013145,0,0,0,0,0,3
0,27,28,-0.699796915054321,-0.00349090178497136,0,0,0,0,0,3
0,28,29,-0.701813995838165,-0.00348530244082212,0,0,0,0,0,3
0,29,30,-0.699370265007019,-0.0033647227101028,0,0,0,0,0,3
0,30,31,-0.699312090873718,-0.00331720616668463,0,0,0,0,0,3
0,31,32,-0.698962986469269,-0.00324017647653818,0,0,0,0,0,3
0,32,33,-0.699758172035217,-0.00320716388523579,0,0,0,0,0,3
0,33,34,-0.699661195278168,-0.00315984175540507,0,0,0,0,0,3
0,34,35,-0.701426088809967,-0.00315408688038588,0,0,0,0,0,3
0,35,36,-0.700010299682617,-0.00307915708981454,0,0,0,0,0,3
0,36,37,-0.698904752731323,-0.00300516048446298,0,0,0,0,0,3
0,37,38,-0.699059963226318,-0.00296297110617161,0,0,0,0,0,3
0,38,39,-0.69983571767807,-0.00294022378511727,0,0,0,0,0,3
0,39,40,-0.700766682624817,-0.00293466355651617,0,0,0,0,0,3
0,40,41,-0.699137508869171,-0.00285810045897961,0,0,0,0,0,3
0,41,42,-0.699156880378723,-0.00282240472733974,0,0,0,0,0,3
0,42,43,-0.702492773532867,-0.00287046562880278,0,0,0,0,0,3
0,43,44,-0.699118137359619,-0.00275766267441213,0,0,0,0,0,3
0,44,45,-0.699796915054321,-0.00274261436425149,0,0,0,0,0,3
0,45,46,-0.701930344104767,-0.00276400079019368,0,0,0,0,0,3
0,46,47,-0.699855089187622,-0.00269027636386454,0,0,0,0,0,3
0,47,48,-0.699195683002472,-0.00264128227718174,0,0,0,0,0,3
0,48,49,-0.701930344104767,-0.00268860440701246,0,0,0,0,0,3
0,49,50,-0.700611531734467,-0.00264528742991388,0,0,0,0,0,3
0,50,51,-0.700650274753571,-0.00261153583414853,0,0,0,0,0,3
0,51,52,-0.700650274753571,-0.00258132279850543,0,0,0,0,0,3
0,52,53,-0.699699938297272,-0.002535400679335,0,0,0,0,0,3
0,53,54,-0.698225975036621,-0.00247808522544801,0,0,0,0,0,3
0,54,55,-0.699040532112122,-0.00246743112802505,0,0,0,0,0,3
0,55,56,-0.69968056678772,-0.00247268029488623,0,0,0,0,0,3
0,56,57,-0.69942843914032,-0.00243679038248956,0,0,0,0,0,3
0,57,58,-0.698148369789124,-0.00238826288841665,0,0,0,0,0,3
0,58,59,-0.699796915054321,-0.00241163233295083,0,0,0,0,0,3
0,59,60,-0.699874520301819,-0.00239716726355255,0,0,0,0,0,3
0,60,61,-0.700029671192169,-0.00237826956436038,0,0,0,0,0,3
0,61,62,-0.699796915054321,-0.00236069387756288,0,0,0,0,0,3
0,62,63,-0.701232135295868,-0.00237302016466856,0,0,0,0,0,3
0,63,64,-0.69942843914032,-0.00231500505469739,0,0,0,0,0,3
0,64,65,-0.69983571767807,-0.00229949015192688,0,0,0,0,0,3
0,65,66,-0.698400497436523,-0.00225317920558155,0,0,0,0,0,3
0,66,67,-0.699564218521118,-0.00226776069030166,0,0,0,0,0,3
0,67,68,-0.701891541481018,-0.00230944459326565,0,0,0,0,0,3
0,68,69,-0.698555648326874,-0.00221258401870728,0,0,0,0,0,3
0,69,70,-0.698904752731323,-0.00220799562521279,0,0,0,0,0,3
0,70,71,-0.701813995838165,-0.0022606838028878,0,0,0,0,0,3
0,71,72,-0.702046692371368,-0.00224676332436502,0,0,0,0,0,3
0,72,73,-0.700611531734467,-0.00219691381789744,0,0,0,0,0,3
0,73,74,-0.697857439517975,-0.00212357821874321,0,0,0,0,0,3
0,74,75,-0.699370265007019,-0.00214033713564277,0,0,0,0,0,3
0,75,76,-0.700572729110718,-0.00215962389484048,0,0,0,0,0,3
0,76,77,-0.698284149169922,-0.00208691041916609,0,0,0,0,0,3
0,77,78,-0.699292659759521,-0.00210573035292327,0,0,0,0,0,3
0,78,79,-0.700146019458771,-0.00211580120958388,0,0,0,0,0,3
0,79,80,-0.699738740921021,-0.00208862125873566,0,0,0,0,0,3
0,80,81,-0.699195683002472,-0.00207178434357047,0,0,0,0,0,3
0,81,82,-0.69942843914032,-0.00206206343136728,0,0,0,0,0,3
0,82,83,-0.699350833892822,-0.00205024261958897,0,0,0,0,0,3
0,83,84,-0.701426088809967,-0.00208236090838909,0,0,0,0,0,3
0,84,85,-0.69902116060257,-0.00201544119045138,0,0,0,0,0,3
0,85,86,-0.698846578598022,-0.00200579804368317,0,0,0,0,0,3
0,86,87,-0.701348483562469,-0.00205564755015075,0,0,0,0,0,3
0,87,88,-0.698090195655823,-0.00196263659745455,0,0,0,0,0,3
0,88,89,-0.698962986469269,-0.00197577942162752,0,0,0,0,0,3
0,89,90,-0.701348483562469,-0.00202652323059738,0,0,0,0,0,3
0,90,91,-0.700708508491516,-0.0020027260761708,0,0,0,0,0,3
0,91,92,-0.698866009712219,-0.00194288336206228,0,0,0,0,0,3
0,92,93,-0.700611531734467,-0.00197896780446172,0,0,0,0,0,3
0,93,94,-0.700630903244019,-0.00196967460215092,0,0,0,0,0,3
0,94,95,-0.703171610832214,-0.00201520789414644,0,0,0,0,0,3
0,95,96,-0.700689077377319,-0.00194863823708147,0,0,0,0,0,3
0,96,97,-0.698904752731323,-0.00190061621833593,0,0,0,0,0,3
0,97,98,-0.700068473815918,-0.0019154311157763,0,0,0,0,0,3
