Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.06,0.00105051475111395,-0.000489967875182629,0,0,0,0,0,33
0,1,0.12,0.00248572370037436,-0.000447538710432127,0,0,0,0,0,33
0,2,0.18,0.00401790626347065,-0.000414212379837409,0,0,0,0,0,33
0,3,0.24,0.00388214318081737,-0.000416538649005815,0,0,0,0,0,33
0,4,0.3,0.00196206639520824,-0.000456474255770445,0,0,0,0,0,33
0,5,0.36,0.00465793209150434,-0.000413488829508424,0,0,0,0,0,33
0,6,0.42,0.00428943242877722,-0.000427473685704172,0,0,0,0,0,33
0,7,0.48,0.00459974771365523,-0.000431620515882969,0,0,0,0,0,33
0,8,0.54,0.00353303831070662,-0.000457796879345551,0,0,0,0,0,33
0,9,0.6,0.0050652208738029,-0.000439353985711932,0,0,0,0,0,33
0,10,0.66,0.00752834975719452,-0.000392731337342411,0,0,0,0,0,33
0,11,0.72,0.00853687524795532,-0.000383931968826801,0,0,0,0,0,33
0,12,0.78,0.00787745509296656,-0.000407249142881483,0,0,0,0,0,33
0,13,0.84,0.00894416403025389,-0.000396909279515967,0,0,0,0,0,33
0,14,0.9,0.0106896888464689,-0.000369951012544334,0,0,0,0,0,33
0,15,0.96,0.0104181626811624,-0.000380870478693396,0,0,0,0,0,33
0,16,1.02,0.0121248969808221,-0.000351107446476817,0,0,0,0,0,33
0,17,1.08,0.0146268159151077,-0.000310498871840537,0,0,0,0,0,33
0,18,1.14,0.0100690573453903,-0.000413636647863314,0,0,0,0,0,33
0,19,1.2,0.0118533717468381,-0.000386725063435733,0,0,0,0,0,33
0,20,1.26,0.0146462107077241,-0.000344762724125758,0,0,0,0,0,33
0,21,1.32,0.0134437382221222,-0.000376237381715328,0,0,0,0,0,33
0,22,1.38,0.0168959982693195,-0.00031619006767869,0,0,0,0,0,33
0,23,1.44,0.0164305251091719,-0.00032724958145991,0,0,0,0,0,33
0,24,1.5,0.0164499189704657,-0.000339736754540354,0,0,0,0,0,33
0,25,1.56,0.0156353414058685,-0.000369480316294357,0,0,0,0,0,33
0,26,1.62,0.0160232353955507,-0.000371720991097391,0,0,0,0,0,33
0,27,1.68,0.0155577622354031,-0.000393847789382562,0,0,0,0,0,33
0,28,1.74,0.015712920576334,-0.000399266689782962,0,0,0,0,0,33
0,29,1.8,0.0181178636848927,-0.000361972459359095,0,0,0,0,0,33
0,30,1.86,0.0190294161438942,-0.000351068563759327,0,0,0,0,0,33
0,31,1.92,0.0207361504435539,-0.000328755035297945,0,0,0,0,0,33
0,32,1.98,0.0199215728789568,-0.000357421056833118,0,0,0,0,0,33
0,33,2.04,0.0194560997188091,-0.000368947366951033,0,0,0,0,0,33
0,34,2.1,0.0224234908819199,-0.00032379906042479,0,0,0,0,0,33
0,35,2.16,0.0222683344036341,-0.00033181652543135,0,0,0,0,0,33
0,36,2.22,0.0216477029025555,-0.000357580545824021,0,0,0,0,0,33
0,37,2.28,0.0225786492228508,-0.000347870896803215,0,0,0,0,0,33
0,38,2.34,0.0247896462678909,-0.00031641180976294,0,0,0,0,0,33
0,39,2.4,0.0244211480021477,-0.000332073279423639,0,0,0,0,0,33
0,40,2.46,0.0248866211622953,-0.000339172693202272,0,0,0,0,0,33
0,41,2.52,0.0261472761631012,-0.000318675825838,0,0,0,0,0,33
0,42,2.58,0.0272333808243275,-0.000299700011964887,0,0,0,0,0,33
0,43,2.64,0.0277958270162344,-0.000306060304865241,0,0,0,0,0,33
