Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.135,-0.749447405338287,-0.00449796346947551,0,0,0,0,0,33
0,1,0.27,-0.747061848640442,-0.00464167958125472,0,0,0,0,0,33
0,2,0.405,-0.745122373104095,-0.00469032349064946,0,0,0,0,0,33
0,3,0.54,-0.742038607597351,-0.00464751198887825,0,0,0,0,0,33
0,4,0.675,-0.743047177791595,-0.00464840652421117,0,0,0,0,0,33
0,5,0.81,-0.743047177791595,-0.00460765557363629,0,0,0,0,0,33
0,6,0.945,-0.739245772361755,-0.00449041975662112,0,0,0,0,0,33
0,7,1.08,-0.739303946495056,-0.00443613762035966,0,0,0,0,0,33
0,8,1.215,-0.736840844154358,-0.00432745646685362,0,0,0,0,0,33
0,9,1.35,-0.734474658966064,-0.00422530760988593,0,0,0,0,0,33
0,10,1.485,-0.733563125133514,-0.00414466159418225,0,0,0,0,0,33
0,11,1.62,-0.734106183052063,-0.00410091690719128,0,0,0,0,0,33
0,12,1.755,-0.731119394302368,-0.00398064823821187,0,0,0,0,0,33
0,13,1.89,-0.72947084903717,-0.00389626948162913,0,0,0,0,0,33
0,14,2.025,-0.729451477527618,-0.00384284253232181,0,0,0,0,0,33
0,15,2.16,-0.727356851100922,-0.00375290354713798,0,0,0,0,0,33
0,16,2.295,-0.726930141448975,-0.00369127211160958,0,0,0,0,0,33
0,17,2.43,-0.724079132080078,-0.00358955096453428,0,0,0,0,0,33
0,18,2.565,-0.722876667976379,-0.00352679193019867,0,0,0,0,0,33
0,19,2.7,-0.724467039108276,-0.00352496444247663,0,0,0,0,0,33
0,20,2.835,-0.721829354763031,-0.00342903705313802,0,0,0,0,0,33
0,21,2.97,-0.719928622245789,-0.00335589586757123,0,0,0,0,0,33
0,22,3.105,-0.718706786632538,-0.00329846399836242,0,0,0,0,0,33
0,23,3.24,-0.715448498725891,-0.00320821371860802,0,0,0,0,0,33
0,24,3.375,-0.715506672859192,-0.00318115041591227,0,0,0,0,0,33
0,25,3.51,-0.714672684669495,-0.00313814450055361,0,0,0,0,0,33
0,26,3.645,-0.713450789451599,-0.00308176246471703,0,0,0,0,0,33
0,27,3.78,-0.710871338844299,-0.00302849104627967,0,0,0,0,0,33
0,28,3.915,-0.709765791893005,-0.00298665161244571,0,0,0,0,0,33
0,29,4.05,-0.706895411014557,-0.00292187067680061,0,0,0,0,0,33
0,30,4.185,-0.708543956279755,-0.00293271918781102,0,0,0,0,0,33
0,31,4.32,-0.706740260124207,-0.00288648600690067,0,0,0,0,0,33
0,32,4.455,-0.703617691993713,-0.00281280046328902,0,0,0,0,0,33
0,33,4.59,-0.703986167907715,-0.00280786212533712,0,0,0,0,0,33
0,34,4.725,-0.700824856758118,-0.00273759849369526,0,0,0,0,0,33
0,35,4.86,-0.698885381221771,-0.00269054854288697,0,0,0,0,0,33
0,36,4.995,-0.702027320861816,-0.00275078020058572,0,0,0,0,0,33
0,37,5.13,-0.699118137359619,-0.00268774875439703,0,0,0,0,0,33
0,38,5.265,-0.695588290691376,-0.00261869048699737,0,0,0,0,0,33
0,39,5.4,-0.695258557796478,-0.00260379794053733,0,0,0,0,0,33
0,40,5.535,-0.694734930992126,-0.00259500998072326,0,0,0,0,0,33
0,41,5.67,-0.693590641021729,-0.00256662466563284,0,0,0,0,0,33
0,42,5.805,-0.691612362861633,-0.00252657383680344,0,0,0,0,0,33
0,43,5.94,-0.690041363239288,-0.00249892729334533,0,0,0,0,0,33
0,44,6.075,-0.687597632408142,-0.00245257723145187,0,0,0,0,0,33
0,45,6.21,-0.68833464384079,-0.0024708139244467,0,0,0,0,0,33
0,46,6.345,-0.684455692768097,-0.00242038117721677,0,0,0,0,0,33
0,47,6.48,-0.685212135314941,-0.00244810548610985,0,0,0,0,0,33
0,48,6.615,-0.685677587985992,-0.00246968632563949,0,0,0,0,0,33
0,49,6.75,-0.681721031665802,-0.00240047252736986,0,0,0,0,0,33
0,50,6.885,-0.680188894271851,-0.0023765976075083,0,0,0,0,0,33
0,51,7.02,-0.679645836353302,-0.00237632542848587,0,0,0,0,0,33
0,52,7.155,-0.679665207862854,-0.00238243024796247,0,0,0,0,0,33
0,53,7.29,-0.675786256790161,-0.00231453846208751,0,0,0,0,0,33
0,54,7.425,-0.67425411939621,-0.00229163561016321,0,0,0,0,0,33
0,55,7.56,-0.672023713588715,-0.0022561342921108,0,0,0,0,0,33
0,56,7.695,-0.673439502716064,-0.00229867361485958,0,0,0,0,0,33
0,57,7.83,-0.673051595687866,-0.00230326200835407,0,0,0,0,0,33
0,58,7.965,-0.670006632804871,-0.00225072936154902,0,0,0,0,0,33
0,59,8.1,-0.669657528400421,-0.00225741742178798,0,0,0,0,0,33
0,60,8.235,-0.666748344898224,-0.0022104843519628,0,0,0,0,0,33
0,61,8.37,-0.66447913646698,-0.00217700493521988,0,0,0,0,0,33
0,62,8.505,-0.664944648742676,-0.00220006331801414,0,0,0,0,0,33
0,63,8.64,-0.663586974143982,-0.00218785367906094,0,0,0,0,0,33
0,64,8.775,-0.662054836750031,-0.00216584536246955,0,0,0,0,0,33
0,65,8.91,-0.660386860370636,-0.002148502971977,0,0,0,0,0,33
0,66,9.045,-0.65910679101944,-0.00213372684083879,0,0,0,0,0,33
0,67,9.18,-0.658408582210541,-0.00214130943641067,0,0,0,0,0,33
0,68,9.315,-0.654859364032745,-0.00207831687293947,0,0,0,0,0,33
0,69,9.45,-0.65617823600769,-0.00212719431146979,0,0,0,0,0,33
0,70,9.585,-0.651795029640198,-0.00204308796674013,0,0,0,0,0,33
0,71,9.72,-0.651445925235748,-0.00205603637732565,0,0,0,0,0,33
0,72,9.855,-0.650224030017853,-0.00204748171381652,0,0,0,0,0,33
0,73,9.99,-0.649777948856354,-0.00206066342070699,0,0,0,0,0,33
0,74,10.125,-0.650456786155701,-0.00208815466612577,0,0,0,0,0,33
0,75,10.26,-0.646888136863709,-0.00203768303617835,0,0,0,0,0,33
0,76,10.395,-0.646306335926056,-0.00203764415346086,0,0,0,0,0,33
0,77,10.53,-0.644328057765961,-0.00201586890034378,0,0,0,0,0,33
0,78,10.665,-0.643649220466614,-0.00201516901142895,0,0,0,0,0,33
0,79,10.8,-0.641826152801514,-0.00200463132932782,0,0,0,0,0,33
0,80,10.935,-0.639576315879822,-0.00198095105588436,0,0,0,0,0,33
0,81,11.07,-0.637404143810272,-0.00195233221165836,0,0,0,0,0,33
0,82,11.205,-0.636434376239777,-0.00194366101641208,0,0,0,0,0,33
0,83,11.34,-0.635794401168823,-0.00195746496319771,0,0,0,0,0,33
0,84,11.475,-0.635076761245728,-0.00195742608048022,0,0,0,0,0,33
0,85,11.61,-0.63373851776123,-0.00195342092774808,0,0,0,0,0,33
0,86,11.745,-0.631100833415985,-0.00191776419524103,0,0,0,0,0,33
0,87,11.88,-0.631934821605682,-0.00195602606981993,0,0,0,0,0,33
0,88,12.015,-0.628385603427887,-0.00189983856398612,0,0,0,0,0,33
0,89,12.15,-0.629801392555237,-0.00194482749793679,0,0,0,0,0,33
0,90,12.285,-0.627512812614441,-0.00192468555178493,0,0,0,0,0,33
0,91,12.42,-0.626426696777344,-0.00191721972078085,0,0,0,0,0,33
0,92,12.555,-0.624157547950745,-0.00189882749691606,0,0,0,0,0,33
0,93,12.69,-0.620860457420349,-0.00184800592251122,0,0,0,0,0,33
0,94,12.825,-0.618804574012756,-0.00183140230365098,0,0,0,0,0,33
0,95,12.96,-0.618552446365356,-0.00184019014704973,0,0,0,0,0,33
0,96,13.095,-0.615623891353607,-0.00180185039062053,0,0,0,0,0,33
0,97,13.23,-0.616244494915009,-0.00183381314855069,0,0,0,0,0,33
0,98,13.365,-0.616166949272156,-0.00185477174818516,0,0,0,0,0,33
0,99,13.5,-0.614867448806763,-0.00184672267641872,0,0,0,0,0,33
0,100,13.635,-0.612927973270416,-0.001832568901591,0,0,0,0,0,33
0,101,13.77,-0.611938893795013,-0.00183490198105574,0,0,0,0,0,33
0,102,13.905,-0.60966968536377,-0.00180896616075188,0,0,0,0,0,33
0,103,14.04,-0.608525395393372,-0.00180826627183706,0,0,0,0,0,33
0,104,14.175,-0.609087824821472,-0.00184019014704973,0,0,0,0,0,33
0,105,14.31,-0.606217443943024,-0.00180321128573269,0,0,0,0,0,33
0,106,14.445,-0.604568898677826,-0.00179481238592416,0,0,0,0,0,33
0,107,14.58,-0.603734910488129,-0.00179722311440855,0,0,0,0,0,33
0,108,14.715,-0.601640284061432,-0.00177859759423882,0,0,0,0,0,33
0,109,14.85,-0.599739611148834,-0.00176436605397612,0,0,0,0,0,33
0,110,14.985,-0.598672866821289,-0.00176401610951871,0,0,0,0,0,33
0,111,15.12,-0.596772193908691,-0.00174150208476931,0,0,0,0,0,33
0,112,15.255,-0.598188042640686,-0.00180002278648317,0,0,0,0,0,33
0,113,15.39,-0.595104277133942,-0.00175900000613183,0,0,0,0,0,33
0,114,15.525,-0.59260231256485,-0.00173139222897589,0,0,0,0,0,33
0,115,15.66,-0.592369616031647,-0.00174749025609344,0,0,0,0,0,33
0,116,15.795,-0.593630254268646,-0.00180398905649781,0,0,0,0,0,33
0,117,15.93,-0.589188873767853,-0.00173485290724784,0,0,0,0,0,33
0,118,16.065,-0.591225326061249,-0.00179142935667187,0,0,0,0,0,33
0,119,16.2,-0.58631843328476,-0.00172513187862933,0,0,0,0,0,33
0,120,16.335,-0.586008131504059,-0.00173224764876068,0,0,0,0,0,33
0,121,16.47,-0.584883272647858,-0.00173753593116999,0,0,0,0,0,33
0,122,16.605,-0.585193574428558,-0.00175857229623944,0,0,0,0,0,33
0,123,16.74,-0.581353425979614,-0.00171303888782859,0,0,0,0,0,33
0,124,16.875,-0.579821228981018,-0.00170094589702785,0,0,0,0,0,33
0,125,17.01,-0.577358067035675,-0.00167800427880138,0,0,0,0,0,33
0,126,17.145,-0.578095078468323,-0.00171747163403779,0,0,0,0,0,33
0,127,17.28,-0.576756834983826,-0.00170969485770911,0,0,0,0,0,33
0,128,17.415,-0.575864672660828,-0.00171673286240548,0,0,0,0,0,33
0,129,17.55,-0.575244069099426,-0.0017223710892722,0,0,0,0,0,33
0,130,17.685,-0.575806498527527,-0.0017598943086341,0,0,0,0,0,33
0,131,17.82,-0.571112990379334,-0.0016864420613274,0,0,0,0,0,33
0,132,17.955,-0.569464445114136,-0.00167590449564159,0,0,0,0,0,33
0,133,18.09,-0.568165004253387,-0.001676254440099,0,0,0,0,0,33
0,134,18.225,-0.56560492515564,-0.00163678696844727,0,0,0,0,0,33
0,135,18.36,-0.56566309928894,-0.00166983855888247,0,0,0,0,0,33
0,136,18.495,-0.566303133964539,-0.00171463307924569,0,0,0,0,0,33
0,137,18.63,-0.563044786453247,-0.00167057733051479,0,0,0,0,0,33
0,138,18.765,-0.561628997325897,-0.00166221719700843,0,0,0,0,0,33
0,139,18.9,-0.562269032001495,-0.0017019568476826,0,0,0,0,0,33
0,140,19.035,-0.559553742408752,-0.00166882760822773,0,0,0,0,0,33
0,141,19.17,-0.558448255062103,-0.001668477547355,0,0,0,0,0,33
0,142,19.305,-0.557032406330109,-0.00166423921473324,0,0,0,0,0,33
0,143,19.44,-0.558254301548004,-0.00171191128902137,0,0,0,0,0,33
0,144,19.575,-0.553890466690063,-0.00164802453946322,0,0,0,0,0,33
0,145,19.71,-0.552978932857513,-0.00165284611284733,0,0,0,0,0,33
0,146,19.845,-0.54844057559967,-0.00158526538871229,0,0,0,0,0,33
0,147,19.98,-0.550069749355316,-0.00164471939206123,0,0,0,0,0,33
0,148,20.115,-0.549681842327118,-0.0016570845618844,0,0,0,0,0,33
0,149,20.25,-0.546171367168427,-0.00161602278240025,0,0,0,0,0,33
0,150,20.385,-0.544173717498779,-0.00159440317656845,0,0,0,0,0,33
0,151,20.52,-0.544212520122528,-0.00161893910262734,0,0,0,0,0,33
0,152,20.655,-0.541303336620331,-0.00158565433230251,0,0,0,0,0,33
0,153,20.79,-0.54231184720993,-0.00163453165441751,0,0,0,0,0,33
