Segment,Point,Elapsed Time (s),Potential (mV),Current (uA),,,,,,,,
1,0,0.14,-899.2328048,4.786837962,,,,,,,,
1,1,0.28,-895.9938884,5.408985089,,,,,,,,
1,2,0.42,-894.6556449,4.903490208,,,,,,,,
1,3,0.56,-894.6750164,5.214563771,,,,,,,,
1,4,0.7,-891.9791579,4.436880317,,,,,,,,
1,5,0.84,-890.7960653,4.359111699,,,,,,,,
1,6,0.98,-891.5137053,4.825722044,,,,,,,,
1,7,1.12,-889.5548582,4.164690836,,,,,,,,
1,8,1.26,-886.3546848,3.542543709,,,,,,,,
1,9,1.4,-884.5316172,3.387007155,,,,,,,,
1,10,1.54,-883.7170005,4.436880317,,,,,,,,
1,11,1.68,-883.7946057,3.853617272,,,,,,,,
1,12,1.82,-880.7690144,3.425891236,,,,,,,,
1,13,1.96,-879.1010976,4.475764399,,,,,,,,
1,14,2.1,-878.0925274,4.709069344,,,,,,,,
1,15,2.24,-877.9373765,5.020142908,,,,,,,,
1,16,2.38,-876.4246106,4.592417099,,,,,,,,
1,17,2.52,-874.3881583,2.881512501,,,,,,,,
1,18,2.66,-872.1965551,5.059026989,,,,,,,,
1,19,2.8,-870.0825572,4.048038136,,,,,,,,
1,20,2.94,-869.7334528,4.086922672,,,,,,,,
1,21,3.08,-866.9793606,2.959280891,,,,,,,,
1,22,3.22,-869.248569,4.397995781,,,,,,,,
1,23,3.36,-863.8374209,3.348122846,,,,,,,,
1,24,3.5,-864.2446995,3.231470373,,,,,,,,
1,25,3.64,-862.0337248,3.114817673,,,,,,,,
1,26,3.78,-862.867713,4.281343536,,,,,,,,
1,27,3.92,-860.8312607,5.097911526,,,,,,,,
1,28,4.06,-858.445704,4.009154054,,,,,,,,
1,29,4.2,-855.8274508,3.192586064,,,,,,,,
1,30,4.34,-856.9329381,3.309238764,,,,,,,,
1,31,4.48,-854.0431261,4.436880317,,,,,,,,
1,32,4.62,-854.3340564,3.775848882,,,,,,,,
1,33,4.76,-853.8491726,4.048038136,,,,,,,,
1,34,4.9,-852.1230221,5.059026989,,,,,,,,
1,35,5.04,-847.8949666,4.397995781,,,,,,,,
1,36,5.18,-848.3604789,4.981258826,,,,,,,,
1,37,5.32,-848.4768271,4.242458999,,,,,,,,
1,38,5.46,-844.9469805,3.775848882,,,,,,,,
1,39,5.6,-843.1432843,3.581428018,,,,,,,,
1,40,5.74,-842.4450755,3.814733191,,,,,,,,
1,41,5.88,-841.2231803,5.292332389,,,,,,,,
1,42,6.02,-841.0098553,5.175679689,,,,,,,,
1,43,6.16,-838.7794495,4.592417099,,,,,,,,
1,44,6.3,-837.5188112,5.681174116,,,,,,,,
1,45,6.44,-834.6678019,4.397995781,,,,,,,,
1,46,6.58,-832.4567676,5.331216471,,,,,,,,
1,47,6.72,-832.6701522,5.097911526,,,,,,,,
1,48,6.86,-832.3985934,5.486753253,,,,,,,,
1,49,7,-831.1185837,5.564521871,,,,,,,,
1,50,7.14,-828.9075494,4.242458999,,,,,,,,
1,51,7.28,-825.5910873,3.698080491,,,,,,,,
1,52,7.42,-824.0782619,3.853617272,,,,,,,,
1,53,7.56,-823.7873316,2.06494451,,,,,,,,
1,54,7.7,-822.6236701,4.553532563,,,,,,,,
1,55,7.84,-821.4017749,4.553532563,,,,,,,,
1,56,7.98,-820.9944963,5.214563771,,,,,,,,
1,57,8.12,-818.5507655,3.698080491,,,,,,,,
1,58,8.26,-817.1931505,4.475764399,,,,,,,,
1,59,8.4,-817.5228834,5.486753253,,,,,,,,
1,60,8.54,-813.139677,4.320227617,,,,,,,,
1,61,8.68,-812.965095,3.814733191,,,,,,,,
1,62,8.82,-811.6462827,5.525637334,,,,,,,,
1,63,8.96,-809.687376,3.387007155,,,,,,,,
1,64,9.1,-807.8643084,3.892501354,,,,,,,,
1,65,9.24,-806.409657,4.281343536,,,,,,,,
1,66,9.38,-806.5260649,4.475764399,,,,,,,,
1,67,9.52,-804.9938679,4.164690836,,,,,,,,
1,68,9.66,-802.9962182,3.464775318,,,,,,,,
1,69,9.8,-802.4531603,3.6203121,,,,,,,,
1,70,9.94,-797.6238728,3.814733191,,,,,,,,
1,71,10.08,-799.3693948,4.009154054,,,,,,,,
1,72,10.22,-796.4020371,3.387007155,,,,,,,,
1,73,10.36,-796.7317104,4.670185263,,,,,,,,
1,74,10.5,-795.955956,4.125806754,,,,,,,,
1,75,10.64,-791.921854,4.086922672,,,,,,,,
1,76,10.78,-791.9024229,3.775848882,,,,,,,,
1,77,10.92,-790.5641794,3.931385891,,,,,,,,
1,78,11.06,-788.7216806,4.942374744,,,,,,,,
1,79,11.2,-788.0622745,5.214563771,,,,,,,,
