Run,Temp,H2O2_pct,LS_ratio,Time_hr,Total_Vol_mL,Cu_conc_ugL,Cu_mass_ug,Cu_yield_pct
R1,25,30,30,7,30,128814.3997,3864.43199,81.39523493
R2,90,5,10,7,10,345939.5835,3459.395835,72.86409423
R3,25,5,20,12,20,184518.2897,3690.365795,77.72893703
R4,90,30,20,2,20,190016.4477,3800.328955,80.04505419
R5,57.5,30,10,2,10,317884.5423,3178.845423,66.954955
R6,57.5,5,30,12,30,117824.0732,3534.722195,74.4506681
R7,25,17.5,10,12,10,310569.4481,3105.694481,65.41420124
R8,90,17.5,30,2,30,142806.5692,4284.197077,90.23660617
R9,57.5,17.5,20,7,20,164217.5611,3284.351223,69.17718828
CP1,57.5,17.5,20,7,20,179181.5009,3583.630018,75.48079717
CP2,57.5,17.5,20,7,20,171376.0005,3427.52001,72.19270442
CP3,57.5,17.5,20,7,20,168485.3563,3369.707127,70.97501106
