Baseline 100%T,,R1 sulfuric + ferric1,,R2 sulfuric + ferric,,R3 sulfuric + ferric,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
799.9872437,0.122644439,799.9872437,0.002280603,799.9872437,0.001039867,799.9872437,-0.000222045
799.012146,0.122961447,799.012146,0.002205796,799.012146,0.000683565,799.012146,-2.06E-05
798.0018921,0.122786194,798.0018921,0.002410682,798.0018921,0.000611132,798.0018921,0.000469126
796.9911499,0.123174794,796.9911499,0.002264886,796.9911499,-0.000326869,796.9911499,-0.000429288
796.0148926,0.12314716,796.0148926,0.00231485,796.0148926,0.000273209,796.0148926,-1.89E-05
795.0033569,0.12296392,795.0033569,0.002204443,795.0033569,0.000520102,795.0033569,-0.000280875
793.9915161,0.122941762,793.9915161,0.002528953,793.9915161,0.000782746,793.9915161,-8.79E-05
793.0140991,0.123228975,793.0140991,0.002801804,793.0140991,7.26E-05,793.0140991,9.13E-05
792.0014648,0.123279207,792.0014648,0.002258147,792.0014648,0.000164174,792.0014648,0.000150035
790.9882813,0.123546749,790.9882813,0.001415237,790.9882813,-5.11E-05,790.9882813,0.000159953
790.0098267,0.12363074,790.0098267,0.0020254,790.0098267,-0.000229341,790.0098267,-0.000445838
788.9958496,0.123281919,788.9958496,0.002759104,788.9958496,0.000149828,788.9958496,7.57E-05
788.0165405,0.123542242,788.0165405,0.002290882,788.0165405,0.00021501,788.0165405,-0.000539232
787.0018921,0.123484314,787.0018921,0.003212106,787.0018921,0.000955803,787.0018921,0.000441399
785.9868164,0.123692721,785.9868164,0.001607435,785.9868164,0.000470888,785.9868164,-0.00046094
785.0064087,0.123677917,785.0064087,0.002254452,785.0064087,0.000392427,785.0064087,0.000146229
783.9905396,0.123846822,783.9905396,0.002147,783.9905396,0.000341337,783.9905396,-3.32E-05
783.0093994,0.124255434,783.0093994,0.002004075,783.0093994,0.00034385,783.0093994,-0.000351751
781.9927368,0.123808026,781.9927368,0.002685308,781.9927368,0.000236636,781.9927368,0.000391935
781.0107422,0.123679332,781.0107422,0.002463188,781.0107422,0.000778545,781.0107422,0.000276395
779.9934082,0.124484792,779.9934082,0.0019756,779.9934082,0.000410875,779.9934082,-0.000496158
779.0106812,0.124365203,779.0106812,0.001660779,779.0106812,-0.00028398,779.0106812,-0.000116109
777.9924927,0.124152035,777.9924927,0.002092867,777.9924927,8.00E-05,777.9924927,-0.000669154
777.0090332,0.124357246,777.0090332,0.001914027,777.0090332,-0.000132878,777.0090332,-0.00019524
775.9901123,0.124128915,775.9901123,0.002161308,775.9901123,0.000635836,775.9901123,-0.000106689
775.0058594,0.124514625,775.0058594,0.002043865,775.0058594,-0.00016626,775.0058594,-0.000349837
773.986145,0.123850852,773.986145,0.002733627,773.986145,0.000559575,773.986145,0.000462285
773.0012207,0.12438082,773.0012207,0.00204501,773.0012207,-2.01E-05,773.0012207,-4.50E-05
772.0159302,0.124581792,772.0159302,0.00221394,772.0159302,0.000169819,772.0159302,-0.00015622
770.9950562,0.12410742,770.9950562,0.002847269,770.9950562,0.000454744,770.9950562,9.73E-05
770.0089722,0.124444768,770.0089722,0.002360395,770.0089722,0.000268728,770.0089722,7.94E-05
768.9873047,0.1249872,768.9873047,0.001513469,768.9873047,-8.12E-05,768.9873047,-0.001157371
768.0005493,0.12438751,768.0005493,0.00211222,768.0005493,8.72E-05,768.0005493,-0.000567826
767.0133667,0.124435842,767.0133667,0.002504973,767.0133667,0.000121474,767.0133667,-0.000258576
765.9906006,0.124527589,765.9906006,0.001930147,765.9906006,5.93E-06,765.9906006,-0.000478058
765.0027466,0.124313988,765.0027466,0.002448662,765.0027466,0.00018067,765.0027466,0.00029318
764.0145264,0.12402916,764.0145264,0.003016877,764.0145264,0.000867295,764.0145264,0.000467908
762.9906006,0.124382787,762.9906006,0.002196482,762.9906006,0.000337943,762.9906006,0.000220941
762.0016479,0.12495748,762.0016479,0.001727332,762.0016479,-7.53E-05,762.0016479,-0.000851641
761.0122681,0.124258056,761.0122681,0.002819468,761.0122681,0.001089223,761.0122681,-4.86E-05
759.9872437,0.124616526,759.9872437,0.002722348,759.9872437,0.000228167,759.9872437,-0.000324592
758.9971924,0.124510728,758.9971924,0.002013151,758.9971924,-0.000128582,758.9971924,-0.000503346
758.0067749,0.124090232,758.0067749,0.002277377,758.0067749,-0.000176144,758.0067749,-0.000246158
757.0159302,0.123882286,757.0159302,0.002300823,757.0159302,0.00038424,757.0159302,-0.000319781
755.9893799,0.12377777,755.9893799,0.002789168,755.9893799,0.000580933,755.9893799,-0.000129307
754.9978638,0.123816051,754.9978638,0.00187352,754.9978638,0.000484545,754.9978638,-0.000110726
754.0059814,0.123352997,754.0059814,0.002571239,754.0059814,0.000738377,754.0059814,0.00038082
753.0137939,0.123303376,753.0137939,0.002541477,753.0137939,0.000326571,753.0137939,-0.000183493
751.9857178,0.123381607,751.9857178,0.002173275,751.9857178,0.000235238,751.9857178,-0.000122372
750.9927979,0.122855537,750.9927979,0.002834841,750.9927979,0.000220242,750.9927979,0.000107103
749.9995117,0.122888655,749.9995117,0.002480787,749.9995117,0.000635784,749.9995117,0.000174092
749.0057983,0.122760639,749.0057983,0.002454025,749.0057983,0.000149129,749.0057983,5.30E-05
748.0118408,0.12208727,748.0118408,0.002929641,748.0118408,0.000960213,748.0118408,0.000567584
747.0174561,0.122547358,747.0174561,0.002772729,747.0174561,0.000331441,747.0174561,0.000113706
745.9871826,0.122578286,745.9871826,0.002130533,745.9871826,2.61E-06,745.9871826,-0.000752009
744.9921265,0.122156985,744.9921265,0.002241338,744.9921265,0.000508154,744.9921265,-0.000534268
743.9967041,0.121747427,743.9967041,0.002682521,743.9967041,0.000319265,743.9967041,-9.66E-05
743.0008545,0.121202119,743.0008545,0.002400088,743.0008545,0.000460859,743.0008545,0.000172357
742.0047607,0.121108063,742.0047607,0.002092763,742.0047607,0.00010933,742.0047607,0.000234435
741.0083008,0.120684423,741.0083008,0.002370728,741.0083008,0.000552525,741.0083008,0.000310251
740.0114746,0.120431066,740.0114746,0.002142083,740.0114746,0.000405538,740.0114746,-0.000283876
739.0142212,0.120168701,739.0142212,0.00235761,739.0142212,0.000160704,739.0142212,-0.000289154
738.0167236,0.119757302,738.0167236,0.002027403,738.0167236,0.000110754,738.0167236,-0.000546161
736.9832153,0.119082749,736.9832153,0.002086729,736.9832153,0.000159565,736.9832153,-8.14E-05
735.9849243,0.118325844,735.9849243,0.002001761,735.9849243,0.000435128,735.9849243,-0.000301933
734.9863281,0.117749326,734.9863281,0.002008002,734.9863281,0.000117978,734.9863281,-0.000291844
733.9874268,0.116917588,733.9874268,0.002315058,733.9874268,-4.35E-05,733.9874268,-6.67E-05
