Baseline 100%T,,R1 Sulfuric acid + Ferric Sulfate,,R2 Sulfuric acid + Ferric Sulfate,,R3 Sulfuric acid + Ferric Sulfate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9872437,0.1319669038,799.9872437,0.3377423584,799.9872437,0.2360348552,799.9872437,0.192844227,
799.012146,0.1327950358,799.012146,0.3365641534,799.012146,0.234629795,799.012146,0.1913361996,
798.0018921,0.1330628544,798.0018921,0.3382798433,798.0018921,0.2332569212,798.0018921,0.1901231557,
796.9911499,0.1326120049,796.9911499,0.33758834,796.9911499,0.2340723872,796.9911499,0.1907784343,
796.0148926,0.132605508,796.0148926,0.3374718428,796.0148926,0.2335476279,796.0148926,0.1904334724,
795.0033569,0.1327107996,795.0033569,0.3364872634,795.0033569,0.2326979786,795.0033569,0.1894572675,
793.9915161,0.1330718547,793.9915161,0.3363807201,793.9915161,0.2315226644,793.9915161,0.1886326522,
793.0140991,0.1324280053,793.0140991,0.3365460336,793.0140991,0.2319825888,793.0140991,0.1896539927,
792.0014648,0.1332748234,792.0014648,0.3363136649,792.0014648,0.2302607745,792.0014648,0.1885655969,
790.9882813,0.1327319592,790.9882813,0.3362895846,790.9882813,0.2308132946,790.9882813,0.1882301271,
790.0098267,0.1330593377,790.0098267,0.3354389966,790.0098267,0.2297621518,790.0098267,0.1885156482,
788.9958496,0.1329819113,788.9958496,0.3352822363,788.9958496,0.2289839536,788.9958496,0.1868801415,
788.0165405,0.1328751743,788.0165405,0.3347387612,788.0165405,0.229423672,788.0165405,0.1870066524,
787.0018921,0.1326440871,787.0018921,0.3344503939,787.0018921,0.2284326553,787.0018921,0.186031878,
785.9868164,0.1322514415,785.9868164,0.3344789743,785.9868164,0.228401199,785.9868164,0.1873521656,
785.0064087,0.1329345852,785.0064087,0.3338162005,785.0064087,0.2273619175,785.0064087,0.1869083941,
783.9905396,0.1332411468,783.9905396,0.3326664567,783.9905396,0.2264716774,783.9905396,0.1843171865,
783.0093994,0.1333337873,783.0093994,0.3331522346,783.0093994,0.2258897722,783.0093994,0.1832751781,
781.9927368,0.1327129453,781.9927368,0.3327018619,781.9927368,0.2249305397,781.9927368,0.1842557788,
781.0107422,0.1330891252,781.0107422,0.332346797,781.0107422,0.2253794372,781.0107422,0.183414191,
779.9934082,0.132840842,779.9934082,0.3313525021,779.9934082,0.2237970084,779.9934082,0.1823093593,
779.0106812,0.1331210285,779.0106812,0.3301236033,779.0106812,0.2233602554,779.0106812,0.1820430458,
777.9924927,0.1336308867,777.9924927,0.3296457827,777.9924927,0.2226918787,777.9924927,0.1805076301,
777.0090332,0.1332835108,777.0090332,0.3293684125,777.0090332,0.2217366546,777.0090332,0.1807784438,
775.9901123,0.1333435029,775.9901123,0.329282254,775.9901123,0.2209513336,775.9901123,0.1802946031,
775.0058594,0.1334712952,775.0058594,0.3267919421,775.0058594,0.2193282992,775.0058594,0.1788594723,
773.986145,0.1334095597,773.986145,0.3281448781,773.986145,0.2192098349,773.986145,0.1785791367,
773.0012207,0.1339923888,773.0012207,0.3267177343,773.0012207,0.2185596824,773.0012207,0.1782404631,
772.0159302,0.133731246,772.0159302,0.3253018856,772.0159302,0.2175063491,772.0159302,0.1772366911,
770.9950562,0.1343908012,770.9950562,0.324546665,770.9950562,0.2155647725,770.9950562,0.1757840216,
770.0089722,0.1341827661,770.0089722,0.3243052363,770.0089722,0.2147999853,770.0089722,0.1746912748,
768.9873047,0.133278653,768.9873047,0.3239623308,768.9873047,0.2160105258,768.9873047,0.1749909818,
768.0005493,0.1336055249,768.0005493,0.3226545453,768.0005493,0.2147953659,768.0005493,0.1738446057,
767.0133667,0.1338213235,767.0133667,0.3223253787,767.0133667,0.213468045,767.0133667,0.1723433435,
765.9906006,0.1338866055,765.9906006,0.320779264,765.9906006,0.211956501,765.9906006,0.1717168689,
765.0027466,0.1336158812,765.0027466,0.3202972412,765.0027466,0.2114343494,765.0027466,0.1710268855,
764.0145264,0.1338851899,764.0145264,0.3195706606,764.0145264,0.2099270672,764.0145264,0.1704528034,
762.9906006,0.1336018741,762.9906006,0.3199375868,762.9906006,0.2100926489,762.9906006,0.1700053215,
762.0016479,0.1338384002,762.0016479,0.3186857104,762.0016479,0.2083961219,762.0016479,0.1688741148,
761.0122681,0.1338617653,761.0122681,0.3178015351,761.0122681,0.2073075026,761.0122681,0.1679229885,
759.9872437,0.1335140914,759.9872437,0.3176323175,759.9872437,0.2071431577,759.9872437,0.1672947705,
758.9971924,0.1336688846,758.9971924,0.3154774904,758.9971924,0.2050329596,758.9971924,0.1660491228,
758.0067749,0.1330575794,758.0067749,0.3157331347,758.0067749,0.2053377926,758.0067749,0.1661317945,
757.0159302,0.1335405409,757.0159302,0.3130878508,757.0159302,0.2033882588,757.0159302,0.1648775488,
755.9893799,0.133291319,755.9893799,0.3130258322,755.9893799,0.2025914341,755.9893799,0.1631251276,
754.9978638,0.1330535412,754.9978638,0.3126749396,754.9978638,0.2010970712,754.9978638,0.1631525606,
754.0059814,0.1334267259,754.0059814,0.3114257753,754.0059814,0.2003120631,754.0059814,0.1607812047,
753.0137939,0.1329449564,753.0137939,0.3105174303,753.0137939,0.1999742687,753.0137939,0.1605322212,
751.9857178,0.1325970441,751.9857178,0.3102217615,751.9857178,0.1981428713,751.9857178,0.1600969136,
750.9927979,0.1327084601,750.9927979,0.3083091974,750.9927979,0.1969709247,750.9927979,0.1584900469,
749.9995117,0.1324167699,749.9995117,0.3081408739,749.9995117,0.1959910989,749.9995117,0.1583032012,
749.0057983,0.1321265101,749.0057983,0.3068726659,749.0057983,0.1953250021,749.0057983,0.1576797813,
748.0118408,0.1321348548,748.0118408,0.304379642,748.0118408,0.19421947,748.0118408,0.1559056491,
747.0174561,0.1316074431,747.0174561,0.3047996759,747.0174561,0.1933930814,747.0174561,0.1554156691,
745.9871826,0.1316339672,745.9871826,0.303681761,745.9871826,0.1914634556,745.9871826,0.1540382653,
744.9921265,0.1311863661,744.9921265,0.3020552993,744.9921265,0.1912579834,744.9921265,0.1529402137,
743.9967041,0.1308076233,743.9967041,0.3023326099,743.9967041,0.189379707,743.9967041,0.1519224942,
743.0008545,0.1301877052,743.0008545,0.3012727499,743.0008545,0.1879178733,743.0008545,0.1510390788,
742.0047607,0.1299129277,742.0047607,0.3005756736,742.0047607,0.1871730834,742.0047607,0.1501182467,
